datetime,message
2026-08-12 07:24:33,키움 접근토큰 발급 요청
2026-08-12 07:24:34,키움 접근토큰 발급 성공 / 만료: 20260813072434
2026-08-12 07:24:36,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 07:24:37,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 07:24:37,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 07:24:37,KOSPI KA10032 100종목
2026-08-12 07:24:38,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 07:24:38,KOSDAQ KA10032 100종목
2026-08-12 07:24:39,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 07:24:39,"[가상진입] 테스트종목 / 10,010원 / A~E"
2026-08-12 07:24:48,=================================
2026-08-12 07:24:48,스크리너 시작 v1.4
2026-08-12 07:24:48,=================================
2026-08-12 07:24:48,키움 접근토큰 발급 요청
2026-08-12 07:24:49,키움 접근토큰 발급 성공 / 만료: 20260813072434
2026-08-12 08:00:01,===== 시장 스캔 시작 =====
2026-08-12 08:00:02,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:00:02,KOSPI KA10027 53종목
2026-08-12 08:00:03,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:00:03,KOSDAQ KA10027 49종목
2026-08-12 08:00:03,사전필터 통과 0종목
2026-08-12 08:00:03,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:00:03,KOSPI KA10032 100종목
2026-08-12 08:00:04,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-12 08:00:04,KOSDAQ KA10032 100종목
2026-08-12 08:00:04,거래대금 통과 0종목 (실제 0 / 추정 0)
2026-08-12 08:00:04,최종 후보 0종목
2026-08-12 08:00:04,===== 시장 스캔 종료 =====
2026-08-12 08:01:04,===== 시장 스캔 시작 =====
2026-08-12 08:01:04,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:01:04,KOSPI KA10027 149종목
2026-08-12 08:01:05,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-12 08:01:05,KOSDAQ KA10027 114종목
2026-08-12 08:01:05,사전필터 통과 1종목
2026-08-12 08:01:05,[DEBUG] 응답 LIST KEY = trde_prica_upper
