version,stock_code,stock_name,session,strategy,TP,SL,entry_time,exit_time,entry_price,exit_price,return_rate,MFE,MAE,result,score,trading_value_source,actual_trading_value,estimated_trading_value
v1.6.1,066570,LG전자,MAIN,T100_S050,1.0,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T125_S050,1.25,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T150_S050,1.5,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T175_S050,1.75,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T200_S050,2.0,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T225_S050,2.25,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T250_S050,2.5,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T275_S050,2.75,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T300_S050,3.0,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
v1.6.1,066570,LG전자,MAIN,T325_S050,3.25,-0.5,2026-08-18 09:01:08,2026-08-18 09:01:23,230230.0,229000.0,-0.534,0.552,-0.534,STOP_LOSS,85,ACTUAL,202664000000.0,19624060000.0
