datetime,message
2026-08-31 07:17:56,========================================
2026-08-31 07:17:56,스크리너 시작 v1.6.7
2026-08-31 07:17:56,AUTO_TRADE_ENABLED = True
2026-08-31 07:17:56,⚠ 실제 주문 ON
2026-08-31 07:17:56,LIVE ENTRY = FIRST_75_PASS
2026-08-31 07:17:56,시간 = MAIN 09:05~09:30
2026-08-31 07:17:56,"종목당 최대 = 1,000,000원"
2026-08-31 07:17:56,하루 최대 = 5종목 / 동일종목 하루 1회
2026-08-31 07:17:56,TP/SL = +2.00% / -1.50%
2026-08-31 07:17:56,v1.6.7 = broker 수량검증 / 수동매매 분리 / 종료 즉시 주문차단
2026-08-31 07:17:56,========================================
2026-08-31 07:17:56,키움 접근토큰 발급 요청
2026-08-31 07:17:57,키움 접근토큰 발급 성공 / 만료: 20260901071537
2026-08-31 07:17:58,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 07:17:59,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 07:17:59,broker 시작 잔고 확인 / 기존보유 2종목
2026-08-31 07:18:00,[WebSocket] 연결 / LOGIN 전송
2026-08-31 07:18:00,[WebSocket] 로그인 성공
2026-08-31 07:53:25,[WebSocket] 연결 정상 종료 / 재연결
2026-08-31 07:53:26,[WebSocket] 연결 / LOGIN 전송
2026-08-31 07:53:26,[WebSocket] 로그인 성공
2026-08-31 08:00:03,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:03.236 =====
2026-08-31 08:00:05,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:00:05,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:00:05,KOSPI KA10027 20종목
2026-08-31 08:00:06,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-08-31 08:00:06,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:00:06,KOSDAQ KA10027 25종목
2026-08-31 08:00:06,사전필터 통과 0종목
2026-08-31 08:00:07,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:00:07,KOSPI KA10032 100종목
2026-08-31 08:00:08,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-08-31 08:00:08,KOSDAQ KA10032 100종목
2026-08-31 08:00:08,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-08-31 08:00:08,거래대금 200억+ 통과 0종목
2026-08-31 08:00:08,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-08-31 08:00:08,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-08-31 08:00:08,===== 시장 스캔 종료 / 5.3초 =====
2026-08-31 08:00:18,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:18.543 =====
2026-08-31 08:00:19,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:00:19,KOSPI KA10027 33종목
2026-08-31 08:00:19,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-08-31 08:00:19,KOSDAQ KA10027 38종목
2026-08-31 08:00:19,사전필터 통과 0종목
2026-08-31 08:00:20,[DEBUG] 응답 LIST KEY = trde_prica_upper
