datetime,version,event,side,stock_code,stock_name,order_no,original_order_no,fill_no,requested_qty,broker_filled_qty,delta_qty,unfilled_qty,fill_price,broker_status,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,exchange,order_type,reason,error,response,broker_held_qty,broker_sellable_qty,broker_avg_price,auto_managed_qty,external_qty,pending_auto_buy_qty,pending_auto_sell_qty,signal_time,signal_price,live_order_time,entry_seq,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_order_time,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,trigger_to_fill_sec,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time
2026-09-02 09:05:43.184,v1.6.8,ORDER_ACCEPTED,BUY,024060,흥구석유,0106930,,,82,,,,,,,,,,SOR,3,,,"{'ord_no': '0106930', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 09:05:43.190,v1.6.8,LIVE_ENTRY_LINK,BUY,024060,흥구석유,0106930,,,82,,,,,,20260902_024060_PRE_HISTORY_E001_090537121658,PRE_HISTORY,FIRST_75_PASS,20260902_024060_E001,,,,,,,,,,,,,2026-09-02 09:05:36.999,11990.0,2026-09-02 09:05:41.818,1,,,,,,,,,,,,
2026-09-02 09:05:43.217,v1.6.8,FILL,BUY,024060,흥구석유,0106930,,28520,82,82,82,0,11940.0,체결,20260902_024060_PRE_HISTORY_E001_090537121658,PRE_HISTORY,FIRST_75_PASS,20260902_024060_E001,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2026-09-02 09:14:02.584,v1.6.8,ORDER_ACCEPTED,SELL,024060,흥구석유,0138907,,,82,,,,,,,,,,SOR,3,,,"{'ord_no': '0138907', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매도주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 09:14:02.672,v1.6.8,FILL,SELL,024060,흥구석유,0138907,,51562,82,82,82,0,11750.0,체결,20260902_024060_PRE_HISTORY_E001_090537121658,PRE_HISTORY,FIRST_75_PASS,20260902_024060_E001,,,,,,,,,,,,,,,,1,2026-09-02 09:13:58.473,2026-09-02 09:14:01.261,2.788196,2026-09-02 09:14:02.585,,4.149467,,,,,,
2026-09-02 09:16:43.772,v1.6.8,ORDER_ACCEPTED,BUY,249420,일동제약,0147621,,,57,,,,,,,,,,SOR,3,,,"{'ord_no': '0147621', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 09:16:43.778,v1.6.8,LIVE_ENTRY_LINK,BUY,249420,일동제약,0147621,,,57,,,,,,20260902_249420_PRE_HISTORY_E006_091640811124,PRE_HISTORY,FIRST_75_PASS,20260902_249420_E006,,,,,,,,,,,,,2026-09-02 09:16:40.769,17280.0,2026-09-02 09:16:43.127,2,,,,,,,,,,,,
2026-09-02 09:16:43.805,v1.6.8,FILL,BUY,249420,일동제약,0147621,,115467,57,57,57,0,17290.0,체결,20260902_249420_PRE_HISTORY_E006_091640811124,PRE_HISTORY,FIRST_75_PASS,20260902_249420_E006,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
2026-09-02 09:17:40.454,v1.6.8,ORDER_ACCEPTED,SELL,249420,일동제약,0150647,,,57,,,,,,,,,,SOR,3,,,"{'ord_no': '0150647', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매도주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,
2026-09-02 09:17:40.509,v1.6.8,FILL,SELL,249420,일동제약,0150647,,17776,57,57,57,0,17690.0,체결,20260902_249420_PRE_HISTORY_E006_091640811124,PRE_HISTORY,FIRST_75_PASS,20260902_249420_E006,,,,,,,,,,,,,,,,2,2026-09-02 09:17:35.251,2026-09-02 09:17:39.260,4.008352,2026-09-02 09:17:40.455,,5.237499,,,,,,
