datetime,version,event,side,stock_code,stock_name,order_no,original_order_no,fill_no,requested_qty,broker_filled_qty,delta_qty,unfilled_qty,fill_price,broker_status,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,exchange,order_type,reason,error,response,broker_held_qty,broker_sellable_qty,broker_avg_price,auto_managed_qty,external_qty,pending_auto_buy_qty,pending_auto_sell_qty,signal_time,signal_price,reference_price,live_order_time,entry_seq,buy_signal_time,buy_precheck_start_time,buy_precheck_end_time,buy_precheck_sec,buy_order_time,buy_fill_time,signal_to_order_sec,signal_to_fill_sec,signal_to_fill_slippage_pct,reference_to_fill_slippage_pct,filled_qty,filled_amount,avg_fill_price,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_order_time,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,trigger_to_fill_sec,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time
2026-09-07 09:06:39.203,v1.7.0,ORDER_ACCEPTED,BUY,336260,두산퓨얼셀,0122593,,,20,,,,,,,,,,SOR,3,,,"{'ord_no': '0122593', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 09:06:39.225,v1.7.0,LIVE_ENTRY_LINK,BUY,336260,두산퓨얼셀,0122593,,,20,,,,,,20260907_336260_PRE_HISTORY_E001_090635554661,PRE_HISTORY,FIRST_75_PASS,20260907_336260_E001,,,,,,,,,,,,,2026-09-07 09:06:35.517,49100.0,49300.0,2026-09-07 09:06:38.374,1,2026-09-07 09:06:35.517,2026-09-07 09:06:35.556,2026-09-07 09:06:38.345,2.788363,2026-09-07 09:06:38.374,,2.856459,,,,,,,,,,,,,,,,,,
2026-09-07 09:06:39.257,v1.7.0,FILL,BUY,336260,두산퓨얼셀,0122593,,38832,20,20,20,0,49300.0,체결,20260907_336260_PRE_HISTORY_E001_090635554661,PRE_HISTORY,FIRST_75_PASS,20260907_336260_E001,,,,,,,,,,,,,,,49300.0,,1,2026-09-07 09:06:35.517,2026-09-07 09:06:35.556,2026-09-07 09:06:38.345,2.788363,2026-09-07 09:06:38.374,,2.856459,,,,,,,,,,,,,,,,,,
2026-09-07 09:06:39.265,v1.7.0,BUY_FILL_QUALITY_FINAL,BUY,336260,두산퓨얼셀,0122593,,38832,20,20,,0,,,20260907_336260_PRE_HISTORY_E001_090635554661,PRE_HISTORY,FIRST_75_PASS,20260907_336260_E001,,,,,,,,,,,,,,49100.0,49300.0,,1,2026-09-07 09:06:35.517621,2026-09-07 09:06:35.556678,2026-09-07 09:06:38.345041,2.788363,2026-09-07 09:06:38.374080,2026-09-07 09:06:39.259690,2.856459,3.742069,0.40733197556008793,0.0,20,986000.0,49300.0,,,,,,,0.88561,,,,,
2026-09-07 09:15:02.287,v1.7.0,ORDER_ACCEPTED,BUY,067290,JW신약,0156675,,,276,,,,,,,,,,SOR,3,,,"{'ord_no': '0156675', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 09:15:02.335,v1.7.0,LIVE_ENTRY_LINK,BUY,067290,JW신약,0156675,,,276,,,,,,20260907_067290_PRE_HISTORY_E001_091452843725,PRE_HISTORY,FIRST_75_PASS,20260907_067290_E001,,,,,,,,,,,,,2026-09-07 09:14:52.716,3585.0,3585.0,2026-09-07 09:14:59.118,2,2026-09-07 09:14:52.716,2026-09-07 09:14:52.851,2026-09-07 09:14:59.089,6.237749,2026-09-07 09:14:59.118,,6.402734,,,,,,,,,,,,,,,,,,
2026-09-07 09:15:02.350,v1.7.0,FILL,BUY,067290,JW신약,0156675,,37293,276,276,276,0,3575.0,체결,20260907_067290_PRE_HISTORY_E001_091452843725,PRE_HISTORY,FIRST_75_PASS,20260907_067290_E001,,,,,,,,,,,,,,,3585.0,,2,2026-09-07 09:14:52.716,2026-09-07 09:14:52.851,2026-09-07 09:14:59.089,6.237749,2026-09-07 09:14:59.118,,6.402734,,,,,,,,,,,,,,,,,,
2026-09-07 09:15:02.383,v1.7.0,BUY_FILL_QUALITY_FINAL,BUY,067290,JW신약,0156675,,37293,276,276,,0,,,20260907_067290_PRE_HISTORY_E001_091452843725,PRE_HISTORY,FIRST_75_PASS,20260907_067290_E001,,,,,,,,,,,,,,3585.0,3585.0,,2,2026-09-07 09:14:52.716160,2026-09-07 09:14:52.851581,2026-09-07 09:14:59.089330,6.237749,2026-09-07 09:14:59.118894,2026-09-07 09:15:02.363548,6.402734,9.647388,-0.2789400278940035,-0.2789400278940035,276,986700.0,3575.0,,,,,,,3.244654,,,,,
2026-09-07 09:15:07.417,v1.7.0,ORDER_ACCEPTED,SELL,336260,두산퓨얼셀,0157050,,,20,,,,,,,,,,SOR,3,,,"{'ord_no': '0157050', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매도주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-07 09:15:13.508,v1.7.0,FILL,SELL,336260,두산퓨얼셀,0157050,,48912,20,20,20,0,50300.0,체결,20260907_336260_PRE_HISTORY_E001_090635554661,PRE_HISTORY,FIRST_75_PASS,20260907_336260_E001,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2026-09-07 09:14:54.848,2026-09-07 09:15:04.239,9.390867,2026-09-07 09:15:07.418,,12.649491,,,,,,
