datetime,version,event,request_id,stock_code,call,start,end,duration_ms,success,error,retry,file,ws_receive_to_live_check_ms,live_check_duration_ms,live_trigger_to_worker_submit_ms,paper_update_duration_ms,research_queue_size,research_queue_oldest_age_ms,research_batch_rows,research_write_duration_ms,research_write_fail_count,active_paper_episode_count,active_episode_count_by_mode,strategy_evaluation_count,memory_usage_mb,last_research_flush_time,degraded_path_rows,dropped_detail_rows,tick_count
2026-09-07 12:38:58.891,v1.7.0,WS_TICK_1S_AGG,,067310,,,,0.401,,,,,0.005,0.006,,0.401,1,901.531,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",1521,,,,,1
2026-09-07 12:38:58.892,v1.7.0,WS_TICK_1S_AGG,,162300,,,,0.023,,,,,0.003,0.002,,0.023,2,902.62,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",0,,,,,1
2026-09-07 12:38:59.018,v1.7.0,WS_TICK_1S_AGG,,100840,,,,2.522,,,,,0.004,0.003,,0.507,0,1029.574,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",169,,,,,6
2026-09-07 12:38:59.093,v1.7.0,RESEARCH_BATCH_WRITE,,,,,,,,,,paper_entry_path_v170.csv,,,,,3,,2,8.487,0,,,,,,0,0,
2026-09-07 12:38:59.046,v1.7.0,WS_TICK_1S_AGG,,095610,,,,4.133,,,,,0.003,0.003,,2.625,0,1058.197,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",1352,,,,,3
2026-09-07 12:38:59.114,v1.7.0,WS_TICK_1S_AGG,,010170,,,,0.633,,,,,0.001,0.002,,0.633,0,0.0,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",2366,,,,,1
2026-09-07 12:38:59.640,v1.7.0,RESEARCH_BATCH_WRITE,,,,,,,,,,paper_trades_v170.csv,,,,,21,,104,406.803,0,,,,,,0,0,
2026-09-07 12:38:59.286,v1.7.0,WS_TICK_1S_AGG,,950260,,,,0.464,,,,,0.002,0.002,,0.464,0,170.005,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",845,,,,,1
2026-09-07 12:38:59.324,v1.7.0,WS_TICK_1S_AGG,,108490,,,,0.018,,,,,0.004,0.003,,0.008,1,207.788,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",0,,,,,9
2026-09-07 12:38:59.325,v1.7.0,WS_TICK_1S_AGG,,387690,,,,7.555,,,,,0.003,0.002,,0.891,2,217.94,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",1521,,,,,17
2026-09-07 12:38:59.351,v1.7.0,WS_TICK_1S_AGG,,036930,,,,78.576,,,,,0.002,0.002,,78.576,3,314.327,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",4901,,,,,1
2026-09-07 12:38:59.432,v1.7.0,WS_TICK_1S_AGG,,240810,,,,0.804,,,,,0.003,0.003,,0.421,4,317.347,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",169,,,,,2
2026-09-07 12:38:59.435,v1.7.0,WS_TICK_1S_AGG,,052690,,,,5.453,,,,,0.003,0.003,,5.453,5,325.445,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",8450,,,,,1
2026-09-07 12:38:59.448,v1.7.0,WS_TICK_1S_AGG,,083650,,,,17.918,,,,,0.005,0.004,,9.069,6,336.025,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",5915,,,,,5
2026-09-07 12:38:59.460,v1.7.0,WS_TICK_1S_AGG,,012210,,,,0.013,,,,,0.003,0.003,,0.005,7,344.183,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",0,,,,,10
2026-09-07 12:38:59.473,v1.7.0,WS_TICK_1S_AGG,,001210,,,,0.005,,,,,0.005,0.004,,0.005,8,358.395,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",0,,,,,1
2026-09-07 12:38:59.507,v1.7.0,WS_TICK_1S_AGG,,089970,,,,0.005,,,,,0.002,0.003,,0.004,9,390.741,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",0,,,,,4
2026-09-07 12:38:59.514,v1.7.0,WS_TICK_1S_AGG,,048770,,,,0.005,,,,,0.002,0.002,,0.005,10,398.865,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",0,,,,,1
2026-09-07 12:38:59.519,v1.7.0,WS_TICK_1S_AGG,,047040,,,,20.233,,,,,0.003,0.003,,5.653,11,404.046,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",2873,,,,,4
2026-09-07 12:38:59.524,v1.7.0,WS_TICK_1S_AGG,,402340,,,,1.242,,,,,0.002,0.003,,1.013,12,409.159,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",2535,,,,,2
2026-09-07 12:38:59.542,v1.7.0,WS_TICK_1S_AGG,,031980,,,,0.091,,,,,0.002,0.002,,0.091,13,427.532,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",169,,,,,2
2026-09-07 12:38:59.543,v1.7.0,WS_TICK_1S_AGG,,066570,,,,16.205,,,,,0.003,0.003,,5.396,14,432.724,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",6422,,,,,5
2026-09-07 12:38:59.576,v1.7.0,WS_TICK_1S_AGG,,000990,,,,2.242,,,,,0.004,0.003,,2.242,15,462.927,,,,499,"{""PRE_FAIL_PULLBACK_SHADOW"": 2, ""CONFIRM"": 3, ""LIVE_FILTER_SHADOW"": 3, ""WIDE_HIGH_GAP_SHADOW"": 134, ""SHADOW_SCORE_70_74"": 11, ""PRE_HISTORY"": 8, ""BASE"": 13, ""NEW_EARLY_ACCEL_SHADOW"": 118, ""NEW_FIRST_PULLBACK_SHADOW"": 89, ""NEW_WATCH_RECLAIM_SHADOW"": 118}",3718,,,,,1
