datetime,version,stock_code,stock_name,entry_mode,decision,reason,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,current_price,high_gap,scan_session,decision_session,decision_time,session_valid_at_decision,history_available_sec,history_sample_count,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec,price_30s_positive,price_60s_positive,first75_price_30s_positive,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,scan_start_time,first_75_time,first_75_price,first_75_score,first_75_pre_result,first_75_pre_status,first_75_pre_reason,entry_decision_time,entry_signal_price,entry_delay_from_first75_sec,entry_vs_first75_pct,pre_status,pre_entry_type,later_pass_origin,first_75_to_pre_entry_sec,pre_history_rule,first_signal_time,first_signal_price,confirm_delay_sec,confirm_rise_pct,confirm_observation_status,confirm_observation_reason,had_prior_shadow_70_74,prior_shadow_trade_id,prior_shadow_time,prior_shadow_price,prior_shadow_score,prior_shadow_to_first75_sec,prior_shadow_to_first75_pct,stock_entry_seq_today,mode_entry_seq_today,is_reentry,previous_same_mode_result,previous_same_mode_trade_id,shadow_group,pre_fail_reason,medium_trend_positive_count,medium_trend_all_positive,wide_high_gap_lower_bound,wide_high_gap_upper_bound
2026-09-08 09:01:29.481,v1.7.1,052690,한전기술,SHADOW_SCORE_70_74,ENTER,SCORE_70_74_BEFORE_FIRST75,74,40,19,11,4,129500.0,1.2204424103737606,MAIN,MAIN,2026-09-08 09:01:29.459,True,77.01033020019531,3,,,,,0.07727975270479134,61.25610685348511,,,,,,,,,,,,,,,,,,0.07727975270479134,,2026-09-08 09:01:17.962,129500.0,74.0,11.497428,20260908_052690_E001,2026-09-08 09:01:17.962,129500.0,74.0,11.497428,2026-09-08 09:01:17.962,,,,,,,2026-09-08 09:01:29.459,129500.0,,,,,,,,,,,,,,False,,,,,,,1,1,False,,,,,,,,
2026-09-08 09:01:29.490,v1.7.1,000990,DB하이텍,BASE,ENTER,75_SCORE,78,33,19,11,15,107900.0,1.7304189435336976,MAIN,MAIN,2026-09-08 09:01:29.456,True,77.01033020019531,3,,,,,-0.5529953917050692,61.25610685348511,,,,,,,,,0.9964739894052572,77.01033020019531,,,,,,,,-0.5529953917050692,,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,2026-09-08 09:01:29.456,107900.0,0.0,0.0,,,,,,,,,,,,False,,,,,,,1,1,False,,,,,,,,
2026-09-08 09:01:29.503,v1.7.1,000990,DB하이텍,PRE_HISTORY,SKIP,NO_30S_PRICE,78,33,19,11,15,107900.0,1.7304189435336976,MAIN,MAIN,2026-09-08 09:01:29.456,True,77.01033020019531,3,,,,,-0.5529953917050692,61.25610685348511,,,,,,,,,0.9964739894052572,77.01033020019531,,,,,,,,-0.5529953917050692,,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,2026-09-08 09:01:29.456,107900.0,0.0,0.0,DATA_UNAVAILABLE,,,,NO_30S_PRICE,,,,,,,False,,,,,,,,,,,,,,,,,
2026-09-08 09:01:29.506,v1.7.1,000990,DB하이텍,CONFIRM,PENDING,FIRST_75_SIGNAL,78,33,19,11,15,107900.0,1.7304189435336976,MAIN,MAIN,2026-09-08 09:01:29.456,True,77.01033020019531,3,,,,,-0.5529953917050692,61.25610685348511,,,,,,,,,0.9964739894052572,77.01033020019531,,,,,,,,-0.5529953917050692,,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,2026-09-08 09:01:29.456,107900.0,0.0,0.0,,,,,,2026-09-08 09:01:29.456,107900.0,,,PENDING,FIRST_75_SIGNAL,False,,,,,,,,,,,,,,,,,
2026-09-08 09:01:45.385,v1.7.1,000990,DB하이텍,NEW_EARLY_ACCEL_SHADOW,ENTER,PROVISIONAL_OBSERVATION,78,33,19,11,15,108700.0,1.0018214936247722,MAIN,MAIN,2026-09-08 09:01:45.374,True,94.13740801811218,4,0.7414272474513438,17.12707781791687,0.7414272474513438,17.12707781791687,0.18433179723502305,78.38318467140198,,,,,,,-0.7285974499089254,17.12707781791687,,,0.26787653949633183,94.13740801811218,,,,,0.7414272474513438,0.18433179723502305,,2026-09-08 09:00:00.952,108200.0,66.0,94.137408,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,94.137408,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,,,,,,,,,,,,,,,,False,,,,,,,2,1,False,,,NEW_EARLY_ACCEL_SHADOW,,,,,
2026-09-08 09:01:45.397,v1.7.1,000990,DB하이텍,NEW_WATCH_RECLAIM_SHADOW,ENTER,PROVISIONAL_OBSERVATION,78,33,19,11,15,108700.0,1.0018214936247722,MAIN,MAIN,2026-09-08 09:01:45.374,True,94.13740801811218,4,0.7414272474513438,17.12707781791687,0.7414272474513438,17.12707781791687,0.18433179723502305,78.38318467140198,,,,,,,-0.7285974499089254,17.12707781791687,,,0.26787653949633183,94.13740801811218,,,,,0.7414272474513438,0.18433179723502305,,2026-09-08 09:00:00.952,108200.0,66.0,94.137408,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,94.137408,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,2026-09-08 09:01:45.374,108700.0,15.917567,0.7414272474513428,,,,,,,,,,,,False,,,,,,,3,1,False,,,NEW_WATCH_RECLAIM_SHADOW,,,,,
2026-09-08 09:01:45.400,v1.7.1,052690,한전기술,NEW_EARLY_ACCEL_SHADOW,ENTER,PROVISIONAL_OBSERVATION,77,40,22,11,4,130100.0,0.7627765064836003,MAIN,MAIN,2026-09-08 09:01:45.374,True,94.13740801811218,4,0.4633204633204633,17.12707781791687,0.4633204633204633,17.12707781791687,0.5409582689335394,78.38318467140198,,,,,,,-0.45766590389016026,17.12707781791687,,,,,,,,,0.4633204633204633,0.5409582689335394,,2026-09-08 09:01:17.962,129500.0,74.0,17.127078,20260908_052690_E001,2026-09-08 09:01:17.962,129500.0,74.0,17.127078,2026-09-08 09:01:35.089,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,2,1,False,,,NEW_EARLY_ACCEL_SHADOW,,,,,
2026-09-08 09:01:45.402,v1.7.1,052690,한전기술,NEW_WATCH_RECLAIM_SHADOW,ENTER,PROVISIONAL_OBSERVATION,77,40,22,11,4,130100.0,0.7627765064836003,MAIN,MAIN,2026-09-08 09:01:45.374,True,94.13740801811218,4,0.4633204633204633,17.12707781791687,0.4633204633204633,17.12707781791687,0.5409582689335394,78.38318467140198,,,,,,,-0.45766590389016026,17.12707781791687,,,,,,,,,0.4633204633204633,0.5409582689335394,,2026-09-08 09:01:17.962,129500.0,74.0,17.127078,20260908_052690_E001,2026-09-08 09:01:17.962,129500.0,74.0,17.127078,2026-09-08 09:01:35.089,,,,,,,2026-09-08 09:01:45.374,130100.0,,,,,,,,,,,,,,False,,,,,,,3,1,False,,,NEW_WATCH_RECLAIM_SHADOW,,,,,
2026-09-08 09:01:45.408,v1.7.1,000990,DB하이텍,CONFIRM,ENTER,PASS,78,33,19,11,15,108700.0,1.0018214936247722,MAIN,MAIN,2026-09-08 09:01:45.374,True,94.13740801811218,4,0.7414272474513438,17.12707781791687,0.7414272474513438,17.12707781791687,0.18433179723502305,78.38318467140198,,,,,,,-0.7285974499089254,17.12707781791687,,,0.26787653949633183,94.13740801811218,,,,,0.7414272474513438,0.18433179723502305,,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,88.504728,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,2026-09-08 09:01:45.374,108700.0,15.917567,0.7414272474513428,,,,,,2026-09-08 09:01:29.456,107900.0,15.917567,0.7414272474513438,EVALUABLE,SCORED,False,,,,,,,4,1,False,,,,,,,,
2026-09-08 09:01:45.411,v1.7.1,000990,DB하이텍,PRE_HISTORY,SKIP,NO_60S_HIGH_GAP,78,33,19,11,15,108700.0,1.0018214936247722,MAIN,MAIN,2026-09-08 09:01:45.374,True,94.13740801811218,4,0.7414272474513438,17.12707781791687,0.7414272474513438,17.12707781791687,0.18433179723502305,78.38318467140198,,,,,,,-0.7285974499089254,17.12707781791687,,,0.26787653949633183,94.13740801811218,,,,,0.7414272474513438,0.18433179723502305,,2026-09-08 09:00:00.952,108200.0,66.0,104.422295,20260908_000990_E001,2026-09-08 09:00:00.952,108200.0,66.0,104.422295,2026-09-08 09:01:17.962,2026-09-08 09:01:29.456,107900.0,78.0,FAIL,DATA_UNAVAILABLE,NO_30S_PRICE,2026-09-08 09:01:45.374,108700.0,15.917567,0.7414272474513428,DATA_UNAVAILABLE,,,,NO_60S_HIGH_GAP,,,,,,,False,,,,,,,,,,,,,,,,,
