datetime,version,event,side,stock_code,stock_name,order_no,original_order_no,fill_no,requested_qty,broker_filled_qty,delta_qty,unfilled_qty,fill_price,broker_status,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,exchange,order_type,reason,error,response,broker_held_qty,broker_sellable_qty,broker_avg_price,auto_managed_qty,external_qty,pending_auto_buy_qty,pending_auto_sell_qty,signal_time,signal_price,reference_price,live_order_time,entry_seq,buy_signal_time,buy_precheck_start_time,buy_precheck_end_time,buy_precheck_sec,buy_order_time,buy_fill_time,signal_to_order_sec,signal_to_fill_sec,signal_to_fill_slippage_pct,reference_to_fill_slippage_pct,filled_qty,filled_amount,avg_fill_price,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_order_time,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,trigger_to_fill_sec,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time
2026-09-09 09:05:37.659,v1.7.1.1,ORDER_ACCEPTED,BUY,000500,가온전선,0119886,,,3,,,,,,,,,,SOR,3,,,"{'ord_no': '0119886', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:05:37.666,v1.7.1.1,LIVE_ENTRY_LINK,BUY,000500,가온전선,0119886,,,3,,,,,,20260909_000500_PRE_HISTORY_E001_090533054353,PRE_HISTORY,FIRST_75_PASS,20260909_000500_E001,,,,,,,,,,,,,2026-09-09 09:05:32.971,254500.0,253500.0,2026-09-09 09:05:36.859,1,2026-09-09 09:05:32.971,2026-09-09 09:05:33.057,2026-09-09 09:05:36.855,3.797751,2026-09-09 09:05:36.859,,3.888723,,,,,,,,,,,,,,,,,,
2026-09-09 09:05:37.735,v1.7.1.1,FILL,BUY,000500,가온전선,0119886,,31094,3,3,3,0,253500.0,체결,20260909_000500_PRE_HISTORY_E001_090533054353,PRE_HISTORY,FIRST_75_PASS,20260909_000500_E001,,,,,,,,,,,,,,,253500.0,,1,2026-09-09 09:05:32.971,2026-09-09 09:05:33.057,2026-09-09 09:05:36.855,3.797751,2026-09-09 09:05:36.859,,3.888723,,,,,,,,,,,,,,,,,,
2026-09-09 09:05:37.741,v1.7.1.1,BUY_FILL_QUALITY_FINAL,BUY,000500,가온전선,0119886,,31094,3,3,,0,,,20260909_000500_PRE_HISTORY_E001_090533054353,PRE_HISTORY,FIRST_75_PASS,20260909_000500_E001,,,,,,,,,,,,,,254500.0,253500.0,,1,2026-09-09 09:05:32.971061,2026-09-09 09:05:33.057555,2026-09-09 09:05:36.855306,3.797751,2026-09-09 09:05:36.859784,2026-09-09 09:05:37.736400,3.888723,4.765339,-0.39292730844793233,0.0,3,760500.0,253500.0,,,,,,,0.876616,,,,,
2026-09-09 09:08:57.387,v1.7.1.1,ORDER_ACCEPTED,BUY,119850,지엔씨에너지,0136832,,,20,,,,,,,,,,SOR,3,,,"{'ord_no': '0136832', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:08:57.426,v1.7.1.1,LIVE_ENTRY_LINK,BUY,119850,지엔씨에너지,0136832,,,20,,,,,,20260909_119850_PRE_HISTORY_E002_090844402201,PRE_HISTORY,FIRST_75_PASS,20260909_119850_E002,,,,,,,,,,,,,2026-09-09 09:08:37.682,47550.0,47650.0,2026-09-09 09:08:54.604,2,2026-09-09 09:08:37.682,2026-09-09 09:08:44.512,2026-09-09 09:08:54.552,10.039334,2026-09-09 09:08:54.604,,16.922061,,,,,,,,,,,,,,,,,,
2026-09-09 09:08:57.440,v1.7.1.1,FILL,BUY,119850,지엔씨에너지,0136832,,52372,20,20,20,0,47600.0,체결,20260909_119850_PRE_HISTORY_E002_090844402201,PRE_HISTORY,FIRST_75_PASS,20260909_119850_E002,,,,,,,,,,,,,,,47650.0,,2,2026-09-09 09:08:37.682,2026-09-09 09:08:44.512,2026-09-09 09:08:54.552,10.039334,2026-09-09 09:08:54.604,,16.922061,,,,,,,,,,,,,,,,,,
2026-09-09 09:08:57.471,v1.7.1.1,BUY_FILL_QUALITY_FINAL,BUY,119850,지엔씨에너지,0136832,,52372,20,20,,0,,,20260909_119850_PRE_HISTORY_E002_090844402201,PRE_HISTORY,FIRST_75_PASS,20260909_119850_E002,,,,,,,,,,,,,,47550.0,47650.0,,2,2026-09-09 09:08:37.682702,2026-09-09 09:08:44.512672,2026-09-09 09:08:54.552006,10.039334,2026-09-09 09:08:54.604763,2026-09-09 09:08:57.452168,16.922061,19.769466,0.1051524710830698,-0.10493179433368471,20,952000.0,47600.0,,,,,,,2.847405,,,,,
2026-09-09 09:13:53.003,v1.7.1.1,ORDER_ACCEPTED,BUY,032820,우리기술,0160713,,,72,,,,,,,,,,SOR,3,,,"{'ord_no': '0160713', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:13:53.100,v1.7.1.1,LIVE_ENTRY_LINK,BUY,032820,우리기술,0160713,,,72,,,,,,20260909_032820_PRE_HISTORY_E002_091341447061,PRE_HISTORY,FIRST_75_PASS,20260909_032820_E002,,,,,,,,,,,,,2026-09-09 09:13:41.119,13770.0,13720.0,2026-09-09 09:13:49.588,3,2026-09-09 09:13:41.119,2026-09-09 09:13:41.474,2026-09-09 09:13:49.514,8.039926,2026-09-09 09:13:49.588,,8.468717,,,,,,,,,,,,,,,,,,
2026-09-09 09:13:53.113,v1.7.1.1,FILL,BUY,032820,우리기술,0160713,,62788,72,38,38,34,13730.0,체결,20260909_032820_PRE_HISTORY_E002_091341447061,PRE_HISTORY,FIRST_75_PASS,20260909_032820_E002,,,,,,,,,,,,,,,13720.0,,3,2026-09-09 09:13:41.119,2026-09-09 09:13:41.474,2026-09-09 09:13:49.514,8.039926,2026-09-09 09:13:49.588,,8.468717,,,,,,,,,,,,,,,,,,
2026-09-09 09:13:53.149,v1.7.1.1,BUY_FILL_QUALITY_PARTIAL,BUY,032820,우리기술,0160713,,62788,72,38,,34,,,20260909_032820_PRE_HISTORY_E002_091341447061,PRE_HISTORY,FIRST_75_PASS,20260909_032820_E002,,,,,,,,,,,,,,13770.0,13720.0,,3,2026-09-09 09:13:41.119489,2026-09-09 09:13:41.474743,2026-09-09 09:13:49.514669,8.039926,2026-09-09 09:13:49.588206,2026-09-09 09:13:53.114171,8.468717,11.994682,-0.2904865649963728,0.07288629737609575,38,521740.0,13730.0,,,,,,,3.525965,,,,,
2026-09-09 09:13:53.170,v1.7.1.1,FILL,BUY,032820,우리기술,0160713,,62789,72,72,34,0,13735.0,체결,20260909_032820_PRE_HISTORY_E002_091341447061,PRE_HISTORY,FIRST_75_PASS,20260909_032820_E002,,,,,,,,,,,,,,,13720.0,,3,2026-09-09 09:13:41.119,2026-09-09 09:13:41.474,2026-09-09 09:13:49.514,8.039926,2026-09-09 09:13:49.588,,8.468717,,,,,,,,,,,,,,,,,,
2026-09-09 09:13:53.209,v1.7.1.1,BUY_FILL_QUALITY_FINAL,BUY,032820,우리기술,0160713,,62789,72,72,,0,,,20260909_032820_PRE_HISTORY_E002_091341447061,PRE_HISTORY,FIRST_75_PASS,20260909_032820_E002,,,,,,,,,,,,,,13770.0,13720.0,,3,2026-09-09 09:13:41.119489,2026-09-09 09:13:41.474743,2026-09-09 09:13:49.514669,8.039926,2026-09-09 09:13:49.588206,2026-09-09 09:13:53.178315,8.468717,12.058826,-0.27333978859033214,0.09009556203434244,72,988730.0,13732.361111111111,,,,,,,3.590109,,,,,
2026-09-09 09:15:44.166,v1.7.1.1,ORDER_ACCEPTED,BUY,017900,광전자,0168530,,,110,,,,,,,,,,SOR,3,,,"{'ord_no': '0168530', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:15:44.186,v1.7.1.1,LIVE_ENTRY_LINK,BUY,017900,광전자,0168530,,,110,,,,,,20260909_017900_PRE_HISTORY_E001_091533486367,PRE_HISTORY,FIRST_75_PASS,20260909_017900_E001,,,,,,,,,,,,,2026-09-09 09:15:25.755,9120.0,9000.0,2026-09-09 09:15:41.408,4,2026-09-09 09:15:25.755,2026-09-09 09:15:33.488,2026-09-09 09:15:41.392,7.904442,2026-09-09 09:15:41.408,,15.652974,,,,,,,,,,,,,,,,,,
2026-09-09 09:15:44.257,v1.7.1.1,FILL,BUY,017900,광전자,0168530,,36008,110,110,110,0,9010.0,체결,20260909_017900_PRE_HISTORY_E001_091533486367,PRE_HISTORY,FIRST_75_PASS,20260909_017900_E001,,,,,,,,,,,,,,,9000.0,,4,2026-09-09 09:15:25.755,2026-09-09 09:15:33.488,2026-09-09 09:15:41.392,7.904442,2026-09-09 09:15:41.408,,15.652974,,,,,,,,,,,,,,,,,,
2026-09-09 09:15:44.278,v1.7.1.1,BUY_FILL_QUALITY_FINAL,BUY,017900,광전자,0168530,,36008,110,110,,0,,,20260909_017900_PRE_HISTORY_E001_091533486367,PRE_HISTORY,FIRST_75_PASS,20260909_017900_E001,,,,,,,,,,,,,,9120.0,9000.0,,4,2026-09-09 09:15:25.755755,2026-09-09 09:15:33.488390,2026-09-09 09:15:41.392832,7.904442,2026-09-09 09:15:41.408729,2026-09-09 09:15:44.262356,15.652974,18.506601,-1.206140350877194,0.11111111111110628,110,991100.0,9010.0,,,,,,,2.853627,,,,,
2026-09-09 09:16:10.324,v1.7.1.1,ORDER_ACCEPTED,BUY,403870,HPSP,0170189,,,17,,,,,,,,,,SOR,3,,,"{'ord_no': '0170189', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:16:10.344,v1.7.1.1,LIVE_ENTRY_LINK,BUY,403870,HPSP,0170189,,,17,,,,,,20260909_403870_PRE_HISTORY_E003_091558513845,PRE_HISTORY,FIRST_75_PASS,20260909_403870_E003,,,,,,,,,,,,,2026-09-09 09:15:26.072,57200.0,57600.0,2026-09-09 09:16:08.174,5,2026-09-09 09:15:26.072,2026-09-09 09:15:58.535,2026-09-09 09:16:07.886,9.350295,2026-09-09 09:16:08.174,,42.101357,,,,,,,,,,,,,,,,,,
2026-09-09 09:16:14.038,v1.7.1.1,FILL,BUY,403870,HPSP,0170189,,25963,17,17,17,0,57600.0,체결,20260909_403870_PRE_HISTORY_E003_091558513845,PRE_HISTORY,FIRST_75_PASS,20260909_403870_E003,,,,,,,,,,,,,,,57600.0,,5,2026-09-09 09:15:26.072,2026-09-09 09:15:58.535,2026-09-09 09:16:07.886,9.350295,2026-09-09 09:16:08.174,,42.101357,,,,,,,,,,,,,,,,,,
2026-09-09 09:16:14.060,v1.7.1.1,BUY_FILL_QUALITY_FINAL,BUY,403870,HPSP,0170189,,25963,17,17,,0,,,20260909_403870_PRE_HISTORY_E003_091558513845,PRE_HISTORY,FIRST_75_PASS,20260909_403870_E003,,,,,,,,,,,,,,57200.0,57600.0,,5,2026-09-09 09:15:26.072802,2026-09-09 09:15:58.535834,2026-09-09 09:16:07.886129,9.350295,2026-09-09 09:16:08.174159,2026-09-09 09:16:14.042667,42.101357,47.969865,0.6993006993007089,0.0,17,979200.0,57600.0,,,,,,,5.868508,,,,,
2026-09-09 09:25:49.436,v1.7.1.1,EXTERNAL_ORDER_DETECTED,SELL,000500,가온전선,0206958,,,3,0,0,3,0.0,접수,,,,,,,EXTERNAL_ORDER_DETECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:25:49.626,v1.7.1.1,EXTERNAL_ORDER_DETECTED,SELL,000500,가온전선,0206958,,45528,3,3,3,0,249000.0,체결,,,,,,,EXTERNAL_ORDER_DETECTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:26:01.635,v1.7.1.1,BROKER_POSITION_RECONCILED,,000500,가온전선,,,,,,,,,,,,,,,,EXTERNAL_ORDER_DETECTED,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-09 09:26:01.787,v1.7.1.1,EXTERNAL_REALIZED_PNL,SELL,000500,가온전선,0206958,,,3,3,3,,249000.0,,,,,,,,EXTERNAL_EXIT,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,249000.0,0206958,2026-09-09 09:25:49.626
2026-09-09 09:26:01.978,v1.7.1.1,EXTERNAL_EXIT_CONFIRMED,SELL,000500,가온전선,,,,,,,,,,,,,,,,EXTERNAL_ORDER_DETECTED,,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
