datetime,version,source,status,candidate_count,change_rate_mean,change_rate_median,candidate_trading_value_sum,kospi_up,kospi_down,kosdaq_up,kosdaq_down,samsung_direction,skhynix_direction
2026-09-09 08:00:03.901,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.9449166666666675,1.51,0,69,0,51,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:00:18.942,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.662192513368984,1.2,0,101,0,86,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:00:34.800,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.5226637554585152,1.07,0,119,0,110,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:00:50.038,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4654263565891463,1.0,0,134,0,124,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:01:05.128,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4951079136690646,1.06,0,144,0,134,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:01:20.310,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4728522336769758,1.1,0,147,0,144,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:01:36.092,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4261716171617174,1.02,0,154,0,149,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:01:51.448,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4284394904458595,1.0,0,158,0,156,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:02:07.342,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4184062500000008,0.99,0,160,0,160,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:02:22.438,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4301557632398765,0.99,0,158,0,163,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:02:38.177,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3989189189189193,1.0,0,164,0,169,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:02:53.314,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3615895953757233,0.94,0,170,0,176,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:03:08.664,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3975852272727285,0.99,0,173,0,179,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:03:23.923,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3937709497206718,0.97,0,174,0,184,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:03:39.420,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3916253443526179,0.97,0,175,0,188,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:03:54.945,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3844808743169406,0.97,0,176,0,190,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:04:10.244,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3856793478260871,0.99,0,178,0,190,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:04:26.143,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.41245810055866,1.04,0,171,0,187,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:04:41.537,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.404613259668509,1.01,0,173,0,189,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:04:56.570,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3902209944751387,0.97,0,174,0,188,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:05:11.625,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3837741046831962,0.95,0,174,0,189,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:05:26.868,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3903038674033155,0.97,0,173,0,189,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:05:42.433,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3831680440771357,0.97,0,174,0,189,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:05:57.739,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.370460704607046,0.99,0,175,0,194,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:06:13.302,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3500808625336933,0.97,0,178,0,193,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:06:28.799,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3520270270270272,0.96,0,176,0,194,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:06:44.220,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3509703504043133,0.94,0,178,0,193,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:06:59.414,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3420643431635395,0.94,0,179,0,194,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:07:15.175,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3420161290322588,0.93,0,181,0,191,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:07:30.421,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.360000000000001,0.95,0,178,0,193,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:07:46.107,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.35465053763441,0.96,0,180,0,192,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:08:01.693,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3455789473684223,0.93,0,186,0,194,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:08:17.062,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3428010471204193,0.95,0,188,0,194,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:08:32.180,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3610052910052914,0.94,0,186,0,192,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:08:47.738,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3567716535433085,0.93,0,187,0,194,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:09:03.227,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.362015706806284,0.94,0,185,0,197,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:09:18.325,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3580412371134034,0.95,0,189,0,199,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:09:34.118,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.372091836734695,0.96,0,192,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:09:49.477,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.385518134715027,0.96,0,186,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:10:04.711,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3800000000000021,0.93,0,187,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:10:19.957,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3604358974358999,0.92,0,190,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:10:35.549,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3638402061855686,0.92,0,188,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:10:51.273,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.358659793814435,0.92,0,188,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:11:06.461,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3553826530612272,0.89,0,192,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:11:22.085,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3659183673469413,0.88,0,192,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:11:37.783,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.372142857142859,0.88,0,192,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:11:53.572,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3672474747474772,0.88,0,196,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:12:09.240,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3665829145728663,0.88,0,198,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:12:25.174,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3614035087719307,0.89,0,199,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:12:40.868,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.368145363408522,0.88,0,199,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:12:56.231,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3698000000000012,0.88,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:13:11.505,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3703750000000015,0.88,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:13:26.907,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3618000000000017,0.88,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:13:42.157,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3644000000000012,0.85,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:13:57.264,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3598500000000004,0.82,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:14:13.166,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3730000000000004,0.8,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:14:28.992,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.380575,0.82,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:14:44.355,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.371399999999999,0.85,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:14:59.556,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3700000000000003,0.88,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:15:14.942,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3804000000000005,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:15:30.599,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.378899999999999,0.87,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:15:45.836,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3780749999999995,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:16:01.346,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3795500000000005,0.84,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:16:16.457,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3810750000000005,0.82,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:16:32.079,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3807750000000005,0.83,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:16:47.509,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3935250000000017,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:17:02.977,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4013500000000005,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:17:18.375,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4001250000000007,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:17:34.165,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4020000000000017,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:17:49.545,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.3960500000000005,0.86,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:18:04.622,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4058750000000009,0.93,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:18:20.034,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4075500000000012,0.92,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:18:35.914,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4130000000000007,0.92,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:18:51.913,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4033750000000007,0.91,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:19:07.041,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4009750000000014,0.92,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:19:22.782,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4055750000000011,0.91,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
2026-09-09 08:19:37.817,v1.7.1.1,SCANNER_CROSS_SECTION,OK,0,1.4028750000000005,0.92,0,200,0,200,0,NOT_IN_SCANNER_PROXY,NOT_IN_SCANNER_PROXY
