datetime,version,session,scan_session,decision_session,decision_time,session_valid_at_decision,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,focus_signal,watch_score,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,watch_episode_id,watch_episode_start_time,watch_episode_start_price,watch_episode_start_score,watch_episode_to_signal_sec,history_available_sec,history_sample_count,price_30s_positive,price_60s_positive,first75_price_30s_positive,had_prior_shadow_70_74,prior_shadow_trade_id,prior_shadow_time,prior_shadow_price,prior_shadow_score,prior_shadow_to_first75_sec,prior_shadow_to_first75_pct,price_change_15s,price_change_15s_actual_sec,price_change_30s,price_change_30s_actual_sec,price_change_60s,price_change_60s_actual_sec,price_change_120s,price_change_120s_actual_sec,price_change_180s,price_change_180s_actual_sec,price_change_300s,price_change_300s_actual_sec,high_gap_change_30s,high_gap_change_30s_actual_sec,high_gap_change_60s,high_gap_change_60s_actual_sec,high_gap_change_120s,high_gap_change_120s_actual_sec,high_gap_change_180s,high_gap_change_180s_actual_sec,high_gap_change_300s,high_gap_change_300s_actual_sec
2026-09-10 09:02:39,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:02:39.959,True,KOSDAQ,382900,범한퓨얼셀,25950.0,11.13,20709,93370000000.0,537398550.0,93370000000.0,ACTUAL,2,26000.0,0.19230769230769232,1.025322849863832,10354.5,82,37,25,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,5.110216,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,5.110216,154.68661451339722,11,11.134903640256958,11.134903640256958,True,False,,,,,,,11.134903640256958,15.299611806869507,11.134903640256958,30.37271523475647,11.134903640256958,60.72339177131653,11.134903640256958,123.01837682723999,,,,,,,,,,,,,,
2026-09-10 09:02:55,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:02:55.803,True,KOSDAQ,382900,범한퓨얼셀,25950.0,10.92,32573,93986000000.0,845269350.0,93986000000.0,ACTUAL,2,26000.0,0.19230769230769232,1.028630841632921,16286.5,82,37,25,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,20.953816,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,20.953816,169.98817086219788,12,11.134903640256958,11.134903640256958,True,False,,,,,,,0.0,15.30155634880066,11.134903640256958,30.601168155670166,11.134903640256958,60.67479133605957,11.134903640256958,122.5542573928833,,,,,0.0,15.30155634880066,,,,,,,,
2026-09-10 09:03:12,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:03:12.439,True,KOSDAQ,382900,범한퓨얼셀,26400.0,11.13,40396,94275000000.0,1066454400.0,94275000000.0,ACTUAL,2,26450.0,0.1890359168241966,1.026815374729069,20198.0,82,37,25,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,37.589961,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,37.589961,185.66013145446777,13,1.7341040462427744,13.062098501070663,True,False,,,,,,,1.7341040462427744,15.671960592269897,1.7341040462427744,30.973516941070557,13.062098501070663,61.346232175827026,13.062098501070663,122.38614392280579,13.062098501070663,185.66013145446777,,,-0.0032717754834957202,30.973516941070557,,,,,,,,
2026-09-10 09:03:27,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:03:27.492,True,KOSDAQ,382900,범한퓨얼셀,26350.0,12.42,44667,94841000000.0,1176975450.0,94841000000.0,ACTUAL,2,26500.0,0.5660377358490566,1.0249313765750967,22333.5,79,37,22,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,52.642798,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,52.642798,201.30282378196716,14,1.5414258188824663,12.84796573875803,True,False,,,,,,,-0.1893939393939394,15.64269232749939,1.5414258188824663,31.314652919769287,12.84796573875803,61.91582107543945,12.84796573875803,122.54423832893372,12.84796573875803,185.41999912261963,,,0.3737300435413643,31.314652919769287,0.3737300435413643,46.616209268569946,,,,,,
2026-09-10 09:03:42,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:03:42.930,True,KOSDAQ,382900,범한퓨얼셀,26250.0,12.42,52541,95267000000.0,1379201250.0,95267000000.0,ACTUAL,2,26500.0,0.9433962264150944,1.0203170183142336,2.5371094693128593,79,37,22,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,68.080847,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,68.080847,216.4380440711975,15,-0.5681818181818182,1.1560693641618496,True,False,,,,,,,-0.3795066413662239,15.135220289230347,-0.5681818181818182,30.777912616729736,1.1560693641618496,61.75142955780029,12.419700214132762,122.47482132911682,12.419700214132762,184.76980638504028,,,0.7543603095908977,30.777912616729736,0.7510885341074021,61.75142955780029,,,,,,
2026-09-10 09:04:27,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:04:27.405,True,KOSDAQ,382900,범한퓨얼셀,26000.0,10.71,66371,95977000000.0,1725646000.0,95977000000.0,ACTUAL,2,26500.0,1.8867924528301887,1.018053566693185,1.6430092088325576,76,37,19,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,112.555999,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,112.555999,232.3588991165161,16,-1.3282732447817838,0.1926782273603083,True,False,,,,,,,-0.9523809523809524,15.920855045318604,-1.3282732447817838,31.05607533454895,0.1926782273603083,62.37072825431824,11.349036402569594,123.04551959037781,11.349036402569594,184.92498564720154,,,1.3207547169811322,31.05607533454895,1.6944847605224964,62.37072825431824,,,,,,
2026-09-10 09:04:39,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:04:39.521,True,KOSDAQ,382900,범한퓨얼셀,26100.0,11.56,67644,96082000000.0,1765508400.0,96082000000.0,ACTUAL,2,26500.0,1.509433962264151,1.0130850581499562,1.5144066089059036,76,37,19,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,124.672428,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,124.672428,268.26434540748596,17,0.38461538461538464,-0.9487666034155597,True,False,,,,,,,0.38461538461538464,35.90544629096985,0.38461538461538464,35.90544629096985,-0.9487666034155597,66.9615216255188,0.5780346820809248,113.57773089408875,11.777301927194861,174.30112266540527,,,-0.37735849056603765,35.90544629096985,0.9433962264150945,66.9615216255188,1.3171262699564588,113.57773089408875,,,,
2026-09-10 09:04:50,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:04:50.446,True,KOSDAQ,108490,로보티즈,327000.0,5.32,61612,173965000000.0,20147124000.0,173965000000.0,ACTUAL,1,327500.0,0.15267175572519084,1.5813562403417871,0.17848514168844187,89,40,25,20,4,False,60,2026-09-10 09:04:43.546,327000.0,89.0,6.900643,20260910_108490_E001,2026-09-10 09:04:43.546,327000.0,89.0,6.900643,283.38334012031555,18,0.7704160246533128,1.8691588785046727,True,False,,,,,,,0.7704160246533128,15.11899471282959,0.7704160246533128,15.11899471282959,1.8691588785046727,66.94529604911804,2.8301886792452833,113.39516925811768,2.9921259842519685,174.06996059417725,,,,,,,,,,,,
2026-09-10 09:04:52,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:04:50.444,True,KOSDAQ,382900,범한퓨얼셀,26200.0,11.99,69773,96166000000.0,1828052600.0,96166000000.0,ACTUAL,2,26500.0,1.1320754716981132,1.0094366359809799,1.3279724405702213,76,37,19,5,15,False,60,2026-09-10 09:02:34.849,25950.0,82.0,135.59516,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,135.59516,283.38334012031555,18,0.38314176245210724,-0.19047619047619047,True,False,,,,,,,0.38314176245210724,15.11899471282959,0.38314176245210724,15.11899471282959,-0.19047619047619047,66.94529604911804,0.9633911368015413,113.39516925811768,12.205567451820128,174.06996059417725,,,-0.3773584905660379,15.11899471282959,0.18867924528301883,66.94529604911804,0.9397677793904209,113.39516925811768,,,,
2026-09-10 09:05:08,v1.7.1.2,MAIN,MAIN,MAIN,2026-09-10 09:05:08.222,True,KOSDAQ,382900,범한퓨얼셀,26300.0,12.85,71364,96275000000.0,1876873200.0,96275000000.0,ACTUAL,2,26500.0,0.7547169811320755,1.0105807887306202,1.3582535543670657,79,37,22,5,15,True,60,2026-09-10 09:02:34.849,25950.0,82.0,153.372775,20260910_382900_E001,2026-09-10 09:02:34.849,25950.0,82.0,153.372775,298.5270755290985,19,0.7662835249042145,1.153846153846154,True,False,,,,,,,0.38167938931297707,15.143735408782959,0.7662835249042145,30.26273012161255,1.153846153846154,66.1681764125824,-0.3787878787878788,112.86694407463074,12.633832976445397,174.21317625045776,,,-0.7547169811320755,30.26273012161255,-1.1320754716981132,66.1681764125824,0.5656810643078789,112.86694407463074,,,,
