datetime,message
2026-09-09 23:32:02,========================================
2026-09-09 23:32:02,스크리너 시작 v1.7.1.2
2026-09-09 23:32:02,AUTO_TRADE_ENABLED = True
2026-09-09 23:32:02,⚠ 실제 주문 ON
2026-09-09 23:32:02,LIVE ENTRY = FIRST_75_PASS
2026-09-09 23:32:02,시간 = MAIN 09:05:00 이상 / 09:30:00 미만
2026-09-09 23:32:02,"종목당 최대 = 500,000원"
2026-09-09 23:32:02,하루 최대 = 5종목 / 동일종목 하루 1회
2026-09-09 23:32:02,TP/SL = +2.50% / -1.50%
2026-09-09 23:32:02,수익보호=False / 정오회복=False / 추정비용=0.24%
2026-09-09 23:32:02,========================================
2026-09-09 23:32:02,키움 접근토큰 발급 요청
2026-09-09 23:32:03,키움 접근토큰 발급 성공 / 만료: 20260910233203
2026-09-09 23:32:04,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 23:32:04,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-09 23:32:04,broker 시작 잔고 확인 / 기존보유 2종목
2026-09-09 23:32:06,[WebSocket] 연결 / LOGIN 전송
2026-09-09 23:32:06,[WebSocket] 로그인 성공
2026-09-09 23:32:08,[WebSocket] 정상 종료
2026-09-09 23:32:08,[연구 queue 종료] remaining=0 / failures=0 / dropped_P2=0
2026-09-09 23:32:08,[LiveExit 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-09 23:32:08,[AccountCache 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-09 23:32:08,[ResearchCompute 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-09 23:32:08,[BrokerPrecheck 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-09 23:32:08,[LiveSafety 종료] 신규 제출 차단 / 대기 작업 cancel 요청
2026-09-09 23:32:08,프로그램 정상 종료
2026-09-10 07:15:21,========================================
2026-09-10 07:15:21,스크리너 시작 v1.7.1.2
2026-09-10 07:15:21,AUTO_TRADE_ENABLED = True
2026-09-10 07:15:21,⚠ 실제 주문 ON
2026-09-10 07:15:21,LIVE ENTRY = FIRST_75_PASS
2026-09-10 07:15:21,시간 = MAIN 09:05:00 이상 / 09:30:00 미만
2026-09-10 07:15:21,"종목당 최대 = 500,000원"
2026-09-10 07:15:21,하루 최대 = 5종목 / 동일종목 하루 1회
2026-09-10 07:15:21,TP/SL = +2.50% / -1.50%
2026-09-10 07:15:21,수익보호=False / 정오회복=False / 추정비용=0.24%
2026-09-10 07:15:21,========================================
2026-09-10 07:15:21,키움 접근토큰 발급 요청
2026-09-10 07:15:22,키움 접근토큰 발급 성공 / 만료: 20260911071522
2026-09-10 07:15:22,이전 거래일 실전상태는 미해결 건이 없어 복구하지 않습니다.
2026-09-10 07:15:23,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-10 07:15:23,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-10 07:15:23,broker 시작 잔고 확인 / 기존보유 2종목
2026-09-10 07:15:24,[WebSocket] 연결 / LOGIN 전송
2026-09-10 07:15:24,[WebSocket] 로그인 성공
2026-09-10 07:53:24,[WebSocket] 연결 정상 종료 / 재연결
2026-09-10 07:53:26,[WebSocket] 연결 / LOGIN 전송
2026-09-10 07:53:27,[WebSocket] 로그인 성공
2026-09-10 08:00:00,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:00.812 =====
2026-09-10 08:00:02,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-10 08:00:02,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-10 08:00:02,KOSPI KA10027 31종목
2026-09-10 08:00:03,[DEBUG] 응답 LIST KEY = acnt_evlt_remn_indv_tot
2026-09-10 08:00:03,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-10 08:00:03,KOSDAQ KA10027 27종목
2026-09-10 08:00:03,사전필터 통과 0종목
2026-09-10 08:00:04,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-10 08:00:04,KOSPI KA10032 100종목
2026-09-10 08:00:05,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-10 08:00:05,KOSDAQ KA10032 100종목
2026-09-10 08:00:05,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-10 08:00:05,거래대금 200억+ 통과 0종목
2026-09-10 08:00:05,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-10 08:00:05,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
