datetime,version,event,side,stock_code,stock_name,order_no,original_order_no,fill_no,requested_qty,broker_filled_qty,delta_qty,unfilled_qty,fill_price,broker_status,paper_trade_id,entry_mode,pre_entry_type,watch_episode_id,exchange,order_type,reason,error,response,broker_held_qty,broker_sellable_qty,broker_avg_price,auto_managed_qty,external_qty,pending_auto_buy_qty,pending_auto_sell_qty,signal_time,signal_price,reference_price,live_order_time,entry_seq,buy_signal_time,buy_precheck_start_time,buy_precheck_end_time,buy_precheck_sec,buy_order_time,buy_fill_time,signal_to_order_sec,signal_to_fill_sec,signal_to_fill_slippage_pct,reference_to_fill_slippage_pct,filled_qty,filled_amount,avg_fill_price,broker_precheck_start_time,broker_precheck_end_time,broker_precheck_sec,sell_order_time,sell_fill_time,trigger_to_order_sec,order_to_fill_sec,trigger_to_fill_sec,external_auto_exit_qty,external_exit_price,external_order_no,external_fill_time,exit_attempt_id,exit_path,safe_rest_attempts,api_slot_requested_at,api_slot_acquired_at,api_started_at,order_accepted_at,first_fill_at,final_fill_at,api_slot_wait_ms,http_duration_ms,order_api_duration_ms,accepted_to_first_fill_sec,accepted_to_final_fill_sec,total_duration_sec,request_class,api_priority,buy_timeout_result
2026-09-11 09:09:19.133,v1.7.1.3,ORDER_ACCEPTED,BUY,001820,삼화콘덴서,0151142,,,3,,,,,,,,,,SOR,3,,,"{'ord_no': '0151142', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-11 09:09:18.341,2026-09-11 09:09:18.341,2026-09-11 09:09:18.341,2026-09-11 09:09:19.133,,,0.0,781.0,,,,,,,
2026-09-11 09:09:19.154,v1.7.1.3,LIVE_ENTRY_LINK,BUY,001820,삼화콘덴서,0151142,,,3,,,,,,20260911_001820_PRE_HISTORY_E001_090915406221,PRE_HISTORY,FIRST_75_PASS,20260911_001820_E001,,,,,,,,,,,,,2026-09-11 09:09:15.378,129400.0,129300.0,2026-09-11 09:09:18.341,1,2026-09-11 09:09:15.378,2026-09-11 09:09:15.408,2026-09-11 09:09:18.323,2.915023,2026-09-11 09:09:18.341,,3.754943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:09:19.176,v1.7.1.3,FILL,BUY,001820,삼화콘덴서,0151142,,32880,3,3,3,0,129200.0,체결,20260911_001820_PRE_HISTORY_E001_090915406221,PRE_HISTORY,FIRST_75_PASS,20260911_001820_E001,,,,,,,,,,,,,,,129300.0,,1,2026-09-11 09:09:15.378,2026-09-11 09:09:15.408,2026-09-11 09:09:18.323,2.915023,2026-09-11 09:09:18.341,,3.754943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:09:19.201,v1.7.1.3,BUY_FILL_QUALITY_FINAL,BUY,001820,삼화콘덴서,0151142,,32880,3,3,,0,,,20260911_001820_PRE_HISTORY_E001_090915406221,PRE_HISTORY,FIRST_75_PASS,20260911_001820_E001,,,,,,,,,,,,,,129400.0,129300.0,,1,2026-09-11 09:09:15.378465,2026-09-11 09:09:15.408261,2026-09-11 09:09:18.323284,2.915023,2026-09-11 09:09:18.341523,2026-09-11 09:09:19.180507,2.963058,3.802042,-0.1545595054095794,-0.07733952049496784,3,387600.0,129200.0,,,,,,,0.838984,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:09:29.199,v1.7.1.3,ORDER_ACCEPTED,SELL,001820,삼화콘덴서,0151942,,,3,,,,,,,,,,SOR,3,,,"{'ord_no': '0151942', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매도주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-11 09:09:28.237,2026-09-11 09:09:28.237,2026-09-11 09:09:28.237,2026-09-11 09:09:29.199,,,0.0,953.0,,,,,,,
2026-09-11 09:09:29.207,v1.7.1.3,LIVE_EXIT_SUBMITTED,SELL,001820,삼화콘덴서,0151942,,,3,,,,,,,,,,,,STOP_LOSS,,SAFE_REST_EXIT,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:09:29.272,v1.7.1.3,FILL,SELL,001820,삼화콘덴서,0151942,,34542,3,3,3,0,127400.0,체결,20260911_001820_PRE_HISTORY_E001_090915406221,PRE_HISTORY,FIRST_75_PASS,20260911_001820_E001,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2026-09-11 09:09:23.696,2026-09-11 09:09:28.237,4.540903,2026-09-11 09:09:29.200,,5.50346,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:09:55.960,v1.7.1.3,ORDER_ACCEPTED,BUY,064550,바이오니아,0153934,,,45,,,,,,,,,,SOR,3,,,"{'ord_no': '0153934', 'dmst_stex_tp': 'SOR', 'return_code': 0, 'return_msg': 'SOR 매수주문이 완료되었습니다.'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-11 09:09:54.798,2026-09-11 09:09:54.798,2026-09-11 09:09:54.798,2026-09-11 09:09:55.960,,,0.0,1156.0,,,,,,,
2026-09-11 09:09:55.983,v1.7.1.3,LIVE_ENTRY_LINK,BUY,064550,바이오니아,0153934,,,45,,,,,,20260911_064550_PRE_HISTORY_E003_090951953630,PRE_HISTORY,FIRST_75_PASS,20260911_064550_E003,,,,,,,,,,,,,2026-09-11 09:09:51.939,10860.0,10860.0,2026-09-11 09:09:54.798,2,2026-09-11 09:09:51.939,2026-09-11 09:09:51.955,2026-09-11 09:09:54.793,2.83812,2026-09-11 09:09:54.798,,4.021276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11 09:09:56.064,v1.7.1.3,FILL,BUY,064550,바이오니아,0153934,,60302,45,45,45,0,10870.0,체결,20260911_064550_PRE_HISTORY_E003_090951953630,PRE_HISTORY,FIRST_75_PASS,20260911_064550_E003,,,,,,,,,,,,,,,10860.0,,2,2026-09-11 09:09:51.939,2026-09-11 09:09:51.955,2026-09-11 09:09:54.793,2.83812,2026-09-11 09:09:54.798,,4.021276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
