datetime,version,index_family,entry_time_variant,decision,reason,direction,rule_version
2026-09-16 14:30:16.350,v2.1.2,KOSPI200,14:30,ENTER,PASS,LONG,v20_initial_20260914
2026-09-16 14:30:16.350,v2.1.2,KOSDAQ150,14:30,ENTER,PASS,INVERSE,v20_initial_20260914
2026-09-16 14:50:08.781,v2.1.2,KOSPI200,14:50,ENTER,PASS,LONG,v20_initial_20260914
2026-09-16 14:50:08.781,v2.1.2,KOSDAQ150,14:50,SKIP,NO_DIRECTION_CONSENSUS,,v20_initial_20260914
2026-09-16 15:00:17.289,v2.1.2,KOSPI200,15:00,ENTER,PASS,LONG,v20_initial_20260914
2026-09-16 15:00:17.289,v2.1.2,KOSDAQ150,15:00,SKIP,NO_DIRECTION_CONSENSUS,,v20_initial_20260914
2026-09-17 14:30:24.426,v2.1.2,KOSPI200,14:30,ENTER,PASS,LONG,v20_initial_20260914
2026-09-17 14:30:24.426,v2.1.2,KOSDAQ150,14:30,SKIP,NO_DIRECTION_CONSENSUS,,v20_initial_20260914
2026-09-17 14:50:06.343,v2.1.2,KOSPI200,14:50,SKIP,NO_DIRECTION_CONSENSUS,,v20_initial_20260914
2026-09-17 14:50:06.343,v2.1.2,KOSDAQ150,14:50,ENTER,PASS,INVERSE,v20_initial_20260914
2026-09-17 15:00:03.289,v2.1.2,KOSPI200,15:00,SKIP,NO_DIRECTION_CONSENSUS,,v20_initial_20260914
2026-09-17 15:00:03.289,v2.1.2,KOSDAQ150,15:00,ENTER,PASS,INVERSE,v20_initial_20260914
