date,version,event_id,event,strategy,trade_id,stock_code,stock_name,candidate_source,candidate_start_time,base_signal_time,first75_signal_time,parent_trade_ids,support_episode_id,peak_time,peak_price,pullback_start_time,pullback_depth_pct,support_low_time,support_low_price,support_anchor_low,support_candidate_time,support_confirm_time,support_elapsed_min,rebound_from_low_pct,higher_low,prior_5m_high,reclaim_threshold_price,reclaim_signal_time,reclaim_volume_ratio,signal_time,signal_detected_time,signal_price,fill_time,fill_price,signal_to_fill_sec,signal_to_fill_slippage_pct,rule_version,data_status
2026-09-22,v2.2.0,2026-09-22:047040:PULLBACK_SUPPORT_ENTRY:2026-09-22:047040:1:2026-09-22 09:17:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,047040,대우건설,BASE,2026-09-22 09:05:36.748,2026-09-22 09:05:36.748,,20260922_047040_BASE_E001_090536802644,2026-09-22:047040:1,2026-09-22 09:06:00.000,19420.0,2026-09-22 09:10:00.000,-2.4201853759011294,2026-09-22 09:15:00.000,18950.0,18970.0,2026-09-22 09:15:00.000,2026-09-22 09:17:00.000,5,0.4221635883905117,True,,,,,2026-09-22 09:17:00.000,2026-09-22 09:17:00.180,19030.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:047040:PULLBACK_SUPPORT_ENTRY:2026-09-22:047040:1:2026-09-22 09:17:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_047040_PULLBACK_SUPPORT_ENTRY_2026-09-22:047040:1_091702915049,047040,대우건설,BASE,2026-09-22 09:05:36.748,2026-09-22 09:05:36.748,,20260922_047040_BASE_E001_090536802644,2026-09-22:047040:1,2026-09-22 09:06:00.000,19420.0,2026-09-22 09:10:00.000,-2.4201853759011294,2026-09-22 09:15:00.000,18950.0,18970.0,2026-09-22 09:15:00.000,2026-09-22 09:17:00.000,5,0.4221635883905117,True,,,,,2026-09-22 09:17:00.000,2026-09-22 09:17:00.180,19030.0,2026-09-22 09:17:00.753,19040.0,0.753345,0.05254860746191081,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:066570:PULLBACK_SUPPORT_ENTRY:2026-09-22:066570:1:2026-09-22 09:18:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,066570,LG전자,BASE,2026-09-22 09:01:56.659,2026-09-22 09:01:56.659,,20260922_066570_BASE_E001_090156667726|20260922_066570_BASE_E002_090759037574|20260922_066570_BASE_E003_090945667738|20260922_066570_BASE_E004_091357033781,2026-09-22:066570:1,2026-09-22 09:04:00.000,215000.0,2026-09-22 09:12:00.000,-1.8604651162790753,2026-09-22 09:12:00.000,211000.0,211000.0,2026-09-22 09:16:00.000,2026-09-22 09:18:00.000,5,1.0663507109004655,False,,,,,2026-09-22 09:18:00.000,2026-09-22 09:18:00.648,213250.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:066570:PULLBACK_SUPPORT_ENTRY:2026-09-22:066570:1:2026-09-22 09:18:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_066570_PULLBACK_SUPPORT_ENTRY_2026-09-22:066570:1_091801259307,066570,LG전자,BASE,2026-09-22 09:01:56.659,2026-09-22 09:01:56.659,,20260922_066570_BASE_E001_090156667726|20260922_066570_BASE_E002_090759037574|20260922_066570_BASE_E003_090945667738|20260922_066570_BASE_E004_091357033781,2026-09-22:066570:1,2026-09-22 09:04:00.000,215000.0,2026-09-22 09:12:00.000,-1.8604651162790753,2026-09-22 09:12:00.000,211000.0,211000.0,2026-09-22 09:16:00.000,2026-09-22 09:18:00.000,5,1.0663507109004655,False,,,,,2026-09-22 09:18:00.000,2026-09-22 09:18:00.648,213250.0,2026-09-22 09:18:00.957,213000.0,0.957994,-0.11723329425556983,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:0161M0:PULLBACK_SUPPORT_ENTRY:2026-09-22:0161M0:2:2026-09-22 09:19:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,0161M0,네오사피엔스,BOTH,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,20260922_0161M0_BASE_E001_090345632652|20260922_0161M0_PRE_HISTORY_E001_090346013080|20260922_0161M0_BASE_E002_090913591703,2026-09-22:0161M0:2,2026-09-22 09:08:00.000,40500.0,2026-09-22 09:09:00.000,-9.999999999999998,2026-09-22 09:14:00.000,36450.0,36500.0,2026-09-22 09:17:00.000,2026-09-22 09:19:00.000,5,1.6460905349794164,False,,,,,2026-09-22 09:19:00.000,2026-09-22 09:19:01.156,37050.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:0161M0:PULLBACK_SUPPORT_ENTRY:2026-09-22:0161M0:2:2026-09-22 09:19:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_0161M0_PULLBACK_SUPPORT_ENTRY_2026-09-22:0161M0:2_091902421301,0161M0,네오사피엔스,BOTH,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,2026-09-22 09:03:45.614,20260922_0161M0_BASE_E001_090345632652|20260922_0161M0_PRE_HISTORY_E001_090346013080|20260922_0161M0_BASE_E002_090913591703,2026-09-22:0161M0:2,2026-09-22 09:08:00.000,40500.0,2026-09-22 09:09:00.000,-9.999999999999998,2026-09-22 09:14:00.000,36450.0,36500.0,2026-09-22 09:17:00.000,2026-09-22 09:19:00.000,5,1.6460905349794164,False,,,,,2026-09-22 09:19:00.000,2026-09-22 09:19:01.156,37050.0,2026-09-22 09:19:01.263,37100.0,1.263534,0.13495276653170407,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:007810:PULLBACK_SUPPORT_ENTRY:2026-09-22:007810:2:2026-09-22 09:20:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,007810,코리아써키트,BASE,2026-09-22 09:02:12.885,2026-09-22 09:02:12.885,,20260922_007810_BASE_E001_090212912607|20260922_007810_BASE_E002_090627343250,2026-09-22:007810:2,2026-09-22 09:11:00.000,65700.0,2026-09-22 09:12:00.000,-3.0441400304414,2026-09-22 09:14:00.000,63700.0,63700.0,2026-09-22 09:18:00.000,2026-09-22 09:20:00.000,5,0.6279434850863463,True,,,,,2026-09-22 09:20:00.000,2026-09-22 09:20:00.778,64100.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:000500:PULLBACK_SUPPORT_ENTRY:2026-09-22:000500:1:2026-09-22 09:20:00:SIGNAL,SIGNAL,PULLBACK_SUPPORT_ENTRY,,000500,가온전선,BOTH,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,20260922_000500_BASE_E001_090656400654|20260922_000500_PRE_HISTORY_E001_090656976126,2026-09-22:000500:1,2026-09-22 09:07:00.000,342000.0,2026-09-22 09:08:00.000,-4.824561403508776,2026-09-22 09:14:00.000,325500.0,325500.0,2026-09-22 09:18:00.000,2026-09-22 09:20:00.000,5,1.382488479262678,False,,,,,2026-09-22 09:20:00.000,2026-09-22 09:20:03.773,330000.0,,,,,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:007810:PULLBACK_SUPPORT_ENTRY:2026-09-22:007810:2:2026-09-22 09:20:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_007810_PULLBACK_SUPPORT_ENTRY_2026-09-22:007810:2_092005710659,007810,코리아써키트,BASE,2026-09-22 09:02:12.885,2026-09-22 09:02:12.885,,20260922_007810_BASE_E001_090212912607|20260922_007810_BASE_E002_090627343250,2026-09-22:007810:2,2026-09-22 09:11:00.000,65700.0,2026-09-22 09:12:00.000,-3.0441400304414,2026-09-22 09:14:00.000,63700.0,63700.0,2026-09-22 09:18:00.000,2026-09-22 09:20:00.000,5,0.6279434850863463,True,,,,,2026-09-22 09:20:00.000,2026-09-22 09:20:00.778,64100.0,2026-09-22 09:20:00.852,64100.0,0.852458,0.0,pullback_support_v1,OK
2026-09-22,v2.2.0,2026-09-22:000500:PULLBACK_SUPPORT_ENTRY:2026-09-22:000500:1:2026-09-22 09:20:00:FILL,FILL,PULLBACK_SUPPORT_ENTRY,20260922_000500_PULLBACK_SUPPORT_ENTRY_2026-09-22:000500:1_092007392140,000500,가온전선,BOTH,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,2026-09-22 09:06:56.382,20260922_000500_BASE_E001_090656400654|20260922_000500_PRE_HISTORY_E001_090656976126,2026-09-22:000500:1,2026-09-22 09:07:00.000,342000.0,2026-09-22 09:08:00.000,-4.824561403508776,2026-09-22 09:14:00.000,325500.0,325500.0,2026-09-22 09:18:00.000,2026-09-22 09:20:00.000,5,1.382488479262678,False,,,,,2026-09-22 09:20:00.000,2026-09-22 09:20:03.773,330000.0,2026-09-22 09:20:04.567,331000.0,4.567498,0.3030303030302939,pullback_support_v1,OK
