datetime,message
2026-09-23 07:25:29,========================================
2026-09-23 07:25:29,스크리너 시작 v2.3.0
2026-09-23 07:25:29,EXECUTION_MODE = RESEARCH / AUTO_TRADE_ENABLED = False
2026-09-23 07:25:29,실제 주문 OFF / 연구·가상매매만 실행
2026-09-23 07:25:29,========================================
2026-09-23 07:35:29,========================================
2026-09-23 07:35:29,스크리너 시작 v2.3.0
2026-09-23 07:35:29,EXECUTION_MODE = RESEARCH / AUTO_TRADE_ENABLED = False
2026-09-23 07:35:29,실제 주문 OFF / 연구·가상매매만 실행
2026-09-23 07:35:29,========================================
2026-09-23 07:35:29,키움 접근토큰 발급 요청
2026-09-23 07:35:30,키움 접근토큰 발급 성공 / 만료: 20260924073529
2026-09-23 07:35:32,[WebSocket] 연결 / LOGIN 전송
2026-09-23 07:35:32,[WebSocket] 로그인 성공
2026-09-23 07:53:24,[WebSocket] 연결 정상 종료 / 재연결
2026-09-23 07:53:26,[WebSocket] 연결 / LOGIN 전송
2026-09-23 07:53:26,[WebSocket] 로그인 성공
2026-09-23 08:00:04,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:04.508 =====
2026-09-23 08:00:05,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:05,KOSPI KA10027 82종목
2026-09-23 08:00:05,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:05,KOSDAQ KA10027 80종목
2026-09-23 08:00:05,사전필터 통과 0종목
2026-09-23 08:00:06,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:06,KOSPI KA10032 100종목
2026-09-23 08:00:07,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:07,KOSDAQ KA10032 100종목
2026-09-23 08:00:07,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-23 08:00:07,거래대금 200억+ 통과 0종목
2026-09-23 08:00:07,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-23 08:00:07,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-23 08:00:07,[SCAN 품질] elapsed=2.6초 / gap=N/A / REST 연속오류스캔=0 / recovery=N/A
2026-09-23 08:00:07,===== 시장 스캔 종료 / 2.6초 =====
2026-09-23 08:00:20,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:20.163 =====
2026-09-23 08:00:20,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:20,KOSPI KA10027 111종목
2026-09-23 08:00:21,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:21,KOSDAQ KA10027 105종목
2026-09-23 08:00:21,사전필터 통과 0종목
2026-09-23 08:00:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:22,KOSPI KA10032 100종목
2026-09-23 08:00:22,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:22,KOSDAQ KA10032 100종목
2026-09-23 08:00:22,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-23 08:00:22,거래대금 200억+ 통과 0종목
2026-09-23 08:00:22,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-23 08:00:22,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-23 08:00:22,[SCAN 품질] elapsed=2.6초 / gap=15.65432357788086 / REST 연속오류스캔=0 / recovery=N/A
2026-09-23 08:00:22,===== 시장 스캔 종료 / 2.6초 =====
2026-09-23 08:00:35,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:35.773 =====
2026-09-23 08:00:36,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:36,KOSPI KA10027 126종목
2026-09-23 08:00:37,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:37,KOSDAQ KA10027 127종목
2026-09-23 08:00:37,사전필터 통과 0종목
2026-09-23 08:00:37,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:37,KOSPI KA10032 100종목
2026-09-23 08:00:38,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:38,KOSDAQ KA10032 100종목
2026-09-23 08:00:38,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-23 08:00:38,거래대금 200억+ 통과 0종목
2026-09-23 08:00:38,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-23 08:00:38,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-23 08:00:38,[SCAN 품질] elapsed=2.7초 / gap=15.610492467880249 / REST 연속오류스캔=0 / recovery=N/A
2026-09-23 08:00:38,===== 시장 스캔 종료 / 2.7초 =====
2026-09-23 08:00:51,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:00:51.492 =====
2026-09-23 08:00:52,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:52,KOSPI KA10027 138종목
2026-09-23 08:00:52,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:00:52,KOSDAQ KA10027 141종목
2026-09-23 08:00:52,사전필터 통과 0종목
2026-09-23 08:00:53,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:53,KOSPI KA10032 100종목
2026-09-23 08:00:54,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:00:54,KOSDAQ KA10032 100종목
2026-09-23 08:00:54,거래대금 데이터 출처 ACTUAL 0 / ESTIMATED 0
2026-09-23 08:00:54,거래대금 200억+ 통과 0종목
2026-09-23 08:00:54,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-23 08:00:54,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-23 08:00:54,[SCAN 품질] elapsed=2.6초 / gap=15.718789339065552 / REST 연속오류스캔=0 / recovery=N/A
2026-09-23 08:00:54,===== 시장 스캔 종료 / 2.6초 =====
2026-09-23 08:01:07,===== 시장 스캔 시작 / scan_session=NXT_PRE / 08:01:07.140 =====
2026-09-23 08:01:07,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:01:07,KOSPI KA10027 142종목
2026-09-23 08:01:08,[DEBUG] 응답 LIST KEY = pred_pre_flu_rt_upper
2026-09-23 08:01:08,KOSDAQ KA10027 150종목
2026-09-23 08:01:08,사전필터 통과 1종목
2026-09-23 08:01:08,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:01:09,KOSPI KA10032 100종목
2026-09-23 08:01:09,[DEBUG] 응답 LIST KEY = trde_prica_upper
2026-09-23 08:01:09,KOSDAQ KA10032 100종목
2026-09-23 08:01:09,거래대금 데이터 출처 ACTUAL 1 / ESTIMATED 0
2026-09-23 08:01:09,거래대금 200억+ 통과 0종목
2026-09-23 08:01:09,고점필터 통과 0종목 / WATCH 60점+ 0종목 / 신호 75점+ 0종목 / Shadow 70~74점 0종목
2026-09-23 08:01:09,[KA10001 품질] 요청 0 / 성공 0 / 오류 0 / 429 0 / 502 0 / timeout 0
2026-09-23 08:01:09,[SCAN 품질] elapsed=2.8초 / gap=15.647795915603638 / REST 연속오류스캔=0 / recovery=N/A
