market,instrument_type,code,name,datetime_kst,trade_date,open,high,low,close,volume,cumulative_volume,source_api,adjusted_flag,collection_status
KOSPI200,ETF,069500,KODEX 200,2025-09-03T14:56:00+09:00,2025-09-03,43090.0,43100.0,43085.0,43085.0,1488,2836951,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T14:57:00+09:00,2025-09-03,43090.0,43105.0,43090.0,43100.0,2030,2838981,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T14:58:00+09:00,2025-09-03,43100.0,43110.0,43095.0,43100.0,7196,2846177,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T14:59:00+09:00,2025-09-03,43100.0,43105.0,43080.0,43080.0,7920,2854097,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:00:00+09:00,2025-09-03,43080.0,43090.0,43070.0,43085.0,10789,2864886,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:01:00+09:00,2025-09-03,43080.0,43090.0,43080.0,43090.0,6653,2871539,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:02:00+09:00,2025-09-03,43090.0,43105.0,43085.0,43105.0,6807,2878346,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:03:00+09:00,2025-09-03,43100.0,43110.0,43100.0,43105.0,26289,2904635,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:04:00+09:00,2025-09-03,43105.0,43110.0,43095.0,43095.0,55395,2960030,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:05:00+09:00,2025-09-03,43105.0,43105.0,43090.0,43100.0,2962,2962992,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:06:00+09:00,2025-09-03,43100.0,43110.0,43090.0,43105.0,48297,3011289,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:07:00+09:00,2025-09-03,43110.0,43115.0,43105.0,43110.0,45581,3056870,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:08:00+09:00,2025-09-03,43115.0,43120.0,43110.0,43115.0,27294,3084164,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:09:00+09:00,2025-09-03,43115.0,43120.0,43105.0,43110.0,20354,3104518,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:10:00+09:00,2025-09-03,43110.0,43115.0,43110.0,43115.0,868,3105386,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:11:00+09:00,2025-09-03,43110.0,43120.0,43105.0,43115.0,15609,3120995,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:12:00+09:00,2025-09-03,43120.0,43125.0,43105.0,43110.0,11207,3132202,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:13:00+09:00,2025-09-03,43115.0,43115.0,43100.0,43100.0,6280,3138482,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:14:00+09:00,2025-09-03,43100.0,43115.0,43100.0,43115.0,3015,3141497,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:15:00+09:00,2025-09-03,43115.0,43115.0,43110.0,43110.0,2825,3144322,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:16:00+09:00,2025-09-03,43110.0,43125.0,43110.0,43125.0,14348,3158670,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:17:00+09:00,2025-09-03,43122.0,43130.0,43120.0,43125.0,19094,3177764,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:18:00+09:00,2025-09-03,43120.0,43130.0,43120.0,43125.0,9706,3187470,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:19:00+09:00,2025-09-03,43120.0,43120.0,43115.0,43120.0,21524,3208994,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:30:00+09:00,2025-09-03,43140.0,43140.0,43140.0,43140.0,34644,3243638,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-03T15:35:00+09:00,2025-09-03,43140.0,43140.0,43140.0,43140.0,6588,3250226,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:00:00+09:00,2025-09-04,43120.0,43165.0,43115.0,43130.0,30835,30835,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:01:00+09:00,2025-09-04,43125.0,43225.0,43125.0,43195.0,58528,89363,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:02:00+09:00,2025-09-04,43205.0,43285.0,43205.0,43275.0,17905,107268,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:03:00+09:00,2025-09-04,43290.0,43305.0,43270.0,43275.0,74077,181345,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:04:00+09:00,2025-09-04,43275.0,43300.0,43265.0,43300.0,20457,201802,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:05:00+09:00,2025-09-04,43295.0,43340.0,43290.0,43310.0,25414,227216,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:06:00+09:00,2025-09-04,43310.0,43350.0,43310.0,43325.0,39383,266599,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:07:00+09:00,2025-09-04,43320.0,43330.0,43305.0,43325.0,11115,277714,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:08:00+09:00,2025-09-04,43330.0,43350.0,43305.0,43340.0,37018,314732,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:09:00+09:00,2025-09-04,43345.0,43355.0,43320.0,43335.0,13365,328097,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:10:00+09:00,2025-09-04,43340.0,43340.0,43315.0,43335.0,28170,356267,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:11:00+09:00,2025-09-04,43330.0,43365.0,43330.0,43355.0,24737,381004,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:12:00+09:00,2025-09-04,43360.0,43360.0,43335.0,43350.0,10053,391057,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:13:00+09:00,2025-09-04,43355.0,43365.0,43330.0,43330.0,7320,398377,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:14:00+09:00,2025-09-04,43335.0,43360.0,43330.0,43355.0,13902,412279,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:15:00+09:00,2025-09-04,43365.0,43375.0,43350.0,43355.0,15992,428271,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:16:00+09:00,2025-09-04,43350.0,43370.0,43335.0,43345.0,6410,434681,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:17:00+09:00,2025-09-04,43355.0,43365.0,43340.0,43345.0,8626,443307,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:18:00+09:00,2025-09-04,43350.0,43385.0,43350.0,43375.0,15608,458915,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:19:00+09:00,2025-09-04,43375.0,43375.0,43350.0,43375.0,6596,465511,ka10080,1,PARTIAL
KOSPI200,ETF,069500,KODEX 200,2025-09-04T09:20:00+09:00,2025-09-04,43370.0,43395.0,43370.0,43390.0,24946,490457,ka10080,1,PARTIAL
