market,instrument_type,code,name,datetime_kst,trade_date,open,high,low,close,volume,cumulative_volume,source_api,adjusted_flag,collection_status
KOSPI,INDEX,001,KOSPI,2025-09-03T14:56:00+09:00,2025-09-03,317964.0,317964.0,317895.0,317908.0,464,294018,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T14:57:00+09:00,2025-09-03,317944.0,317968.0,317898.0,317911.0,506,294524,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T14:58:00+09:00,2025-09-03,317956.0,317962.0,317893.0,317962.0,392,294916,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T14:59:00+09:00,2025-09-03,317907.0,317970.0,317872.0,317931.0,459,295375,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:00:00+09:00,2025-09-03,317791.0,317962.0,317791.0,317857.0,5320,300695,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:01:00+09:00,2025-09-03,317859.0,317911.0,317832.0,317832.0,459,301154,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:02:00+09:00,2025-09-03,317901.0,317969.0,317842.0,317969.0,426,301580,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:03:00+09:00,2025-09-03,317882.0,317934.0,317868.0,317868.0,519,302099,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:04:00+09:00,2025-09-03,318005.0,318016.0,317916.0,317992.0,474,302573,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:05:00+09:00,2025-09-03,317942.0,317999.0,317928.0,317952.0,427,303000,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:06:00+09:00,2025-09-03,317915.0,318025.0,317915.0,318025.0,643,303643,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:07:00+09:00,2025-09-03,318080.0,318080.0,317994.0,318074.0,477,304120,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:08:00+09:00,2025-09-03,317969.0,318087.0,317949.0,318085.0,390,304510,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:09:00+09:00,2025-09-03,318066.0,318111.0,317970.0,317970.0,463,304973,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:10:00+09:00,2025-09-03,317950.0,318032.0,317930.0,317989.0,456,305429,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:11:00+09:00,2025-09-03,318085.0,318085.0,317951.0,317987.0,458,305887,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:12:00+09:00,2025-09-03,317960.0,318020.0,317960.0,317996.0,552,306439,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:13:00+09:00,2025-09-03,317969.0,318022.0,317963.0,317980.0,512,306951,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-03T15:14:00+09:00,2025-09-03,317977.0,318059.0,317977.0,317996.0,507,307458,ka20005,N/A,PARTIAL
