collected_at_kst,api_id,instrument_type,code,base_date,page,row_count,cont_yn,next_key_present,status,message,first_raw_time,last_raw_time
2026-09-13T20:37:59.016637+09:00,ka20005,INDEX,001,2026-09-11,1,900,Y,True,COMPLETE,,20260911153300.0,20260909130700.0
2026-09-13T20:38:00.255588+09:00,ka20005,INDEX,001,2026-09-11,2,900,Y,True,COMPLETE,,20260909130600.0,20260907105100.0
2026-09-13T20:38:00.600611+09:00,ka20005,INDEX,001,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907105000.0,20260902145700.0
2026-09-13T20:38:01.155459+09:00,ka20005,INDEX,101,2026-09-11,1,900,Y,True,COMPLETE,,20260911153300.0,20260909130800.0
2026-09-13T20:38:01.244845+09:00,ka20005,INDEX,101,2026-09-11,2,900,Y,True,COMPLETE,,20260909130700.0,20260907105200.0
2026-09-13T20:38:01.634131+09:00,ka20005,INDEX,101,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907105100.0,20260902145800.0
2026-09-13T20:38:02.179886+09:00,ka20005,INDEX,201,2026-09-11,1,900,Y,True,COMPLETE,,20260911153100.0,20260909130700.0
2026-09-13T20:38:02.297539+09:00,ka20005,INDEX,201,2026-09-11,2,900,Y,True,COMPLETE,,20260909130600.0,20260907105100.0
2026-09-13T20:38:02.667883+09:00,ka20005,INDEX,201,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907105000.0,20260902145700.0
2026-09-13T20:38:03.224679+09:00,ka10080,ETF,069500,2026-09-11,1,900,Y,True,COMPLETE,,20260911153000.0,20260909130500.0
2026-09-13T20:38:03.332997+09:00,ka10080,ETF,069500,2026-09-11,2,900,Y,True,COMPLETE,,20260909130400.0,20260907104900.0
2026-09-13T20:38:03.737071+09:00,ka10080,ETF,069500,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907104800.0,20260902145500.0
2026-09-13T20:38:04.298457+09:00,ka10080,ETF,102110,2026-09-11,1,900,Y,True,COMPLETE,,20260911153000.0,20260909130500.0
2026-09-13T20:38:04.411528+09:00,ka10080,ETF,102110,2026-09-11,2,900,Y,True,COMPLETE,,20260909130400.0,20260907104900.0
2026-09-13T20:38:04.780524+09:00,ka10080,ETF,102110,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907104800.0,20260902145500.0
2026-09-13T20:38:05.317720+09:00,ka10080,ETF,105190,2026-09-11,1,900,Y,True,COMPLETE,,20260911153000.0,20260909115700.0
2026-09-13T20:38:05.462949+09:00,ka10080,ETF,105190,2026-09-11,2,900,Y,True,COMPLETE,,20260909115600.0,20260907092300.0
2026-09-13T20:38:05.834380+09:00,ka10080,ETF,105190,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907092200.0,20260902130500.0
2026-09-13T20:38:06.372751+09:00,ka10080,ETF,114800,2026-09-11,1,900,Y,True,COMPLETE,,20260911153000.0,20260909130500.0
2026-09-13T20:38:06.494753+09:00,ka10080,ETF,114800,2026-09-11,2,900,Y,True,COMPLETE,,20260909130400.0,20260907104900.0
2026-09-13T20:38:06.859980+09:00,ka10080,ETF,114800,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907104800.0,20260902145500.0
2026-09-13T20:38:07.407374+09:00,ka10080,ETF,229200,2026-09-11,1,900,Y,True,COMPLETE,,20260911153000.0,20260909130500.0
2026-09-13T20:38:07.547564+09:00,ka10080,ETF,229200,2026-09-11,2,900,Y,True,COMPLETE,,20260909130400.0,20260907104900.0
2026-09-13T20:38:07.959114+09:00,ka10080,ETF,229200,2026-09-11,3,900,Y,True,PARTIAL,PAGE_LIMIT_REACHED,20260907104800.0,20260902145500.0
2026-09-13T20:38:08.483853+09:00,ka10080,ETF,232080,2026-09-11,1,900,Y,True,COMPLETE,,20260911153000.0,20260909130500.0
2026-09-13T20:38:08.601794+09:00,ka10080,ETF,232080,2026-09-11,2,900,Y,True,COMPLETE,,20260909130400.0,20260907104900.0
