rule_family,index_family,entry_time_variant,direction,tp_pct,sl_pct,cost_status,samples,grid_rows,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,gross_profit_factor
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.3,-0.75,UNCONFIRMED,88,88,55.68181818181818,-0.01493886348700167,-0.42579925086641396,0.9157518338986441
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.3,-0.5,UNCONFIRMED,88,88,51.13636363636363,-0.018069872305483757,-0.42892927652736257,0.8916767787020967
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.3,-0.3,UNCONFIRMED,88,88,43.18181818181818,-0.03155068120619223,-0.44243065282263544,0.8013729701063746
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.3,-0.2,UNCONFIRMED,88,88,32.95454545454545,-0.03068181818182023,-0.44156976829476496,0.7631578947368237
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.5,-0.75,UNCONFIRMED,88,88,40.909090909090914,-0.05360051024016235,-0.4645387209812583,0.7710113045553726
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.5,-0.5,UNCONFIRMED,88,88,36.36363636363637,-0.05434283631281889,-0.4652735873537436,0.7437746074391101
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.5,-0.3,UNCONFIRMED,88,88,29.545454545454547,-0.053836621100489764,-0.46476122705515927,0.7159402050613868
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.5,-0.2,UNCONFIRMED,88,88,21.59090909090909,-0.0472859398942997,-0.4582068525497098,0.6799105607155067
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.75,-0.75,UNCONFIRMED,88,88,36.36363636363637,-0.050687438304837136,-0.4616252251739608,0.8000984611017624
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.75,-0.5,UNCONFIRMED,88,88,32.95454545454545,-0.047070329269172984,-0.4579896422649231,0.790217420796085
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.75,-0.3,UNCONFIRMED,88,88,26.136363636363637,-0.04543800846734871,-0.4563465893822221,0.7696623565146693
KOREAN_V20,KOSDAQ150,14:30,INVERSE,0.75,-0.2,UNCONFIRMED,88,88,19.318181818181817,-0.03852530214891648,-0.4494301199553842,0.7469980157384569
KOREAN_V20,KOSDAQ150,14:30,INVERSE,1.0,-0.75,UNCONFIRMED,88,88,34.090909090909086,-0.035060740792848794,-0.44595383547529915,0.8662236511034413
KOREAN_V20,KOSDAQ150,14:30,INVERSE,1.0,-0.5,UNCONFIRMED,88,88,30.681818181818183,-0.03712544993900269,-0.44801235110740056,0.8386260796329454
KOREAN_V20,KOSDAQ150,14:30,INVERSE,1.0,-0.3,UNCONFIRMED,88,88,23.863636363636363,-0.03890222004626921,-0.4497852714196988,0.8061441891750264
KOREAN_V20,KOSDAQ150,14:30,INVERSE,1.0,-0.2,UNCONFIRMED,88,88,17.045454545454543,-0.04221678645510946,-0.4531192258455286,0.7268325582316425
KOREAN_V20,KOSDAQ150,14:30,LONG,0.3,-0.75,UNCONFIRMED,78,78,61.53846153846154,-0.017328260847829877,-0.07882221063503562,0.89186636513284
KOREAN_V20,KOSDAQ150,14:30,LONG,0.3,-0.5,UNCONFIRMED,78,78,60.256410256410255,0.0026653777015956262,-0.05882161951780326,1.0190668859584848
KOREAN_V20,KOSDAQ150,14:30,LONG,0.3,-0.3,UNCONFIRMED,78,78,55.12820512820513,0.015535501981351781,-0.04594798673456287,1.1362527984371893
KOREAN_V20,KOSDAQ150,14:30,LONG,0.3,-0.2,UNCONFIRMED,78,78,43.58974358974359,-1.3405951738453526e-05,-0.0615016661582335,0.9998758591624227
KOREAN_V20,KOSDAQ150,14:30,LONG,0.5,-0.75,UNCONFIRMED,78,78,57.692307692307686,0.012770416448049673,-0.048714912496329456,1.0747249405358676
KOREAN_V20,KOSDAQ150,14:30,LONG,0.5,-0.5,UNCONFIRMED,78,78,56.41025641025641,0.03596918320260317,-0.025508240274321848,1.2442957682492046
KOREAN_V20,KOSDAQ150,14:30,LONG,0.5,-0.3,UNCONFIRMED,78,78,50.0,0.029608538251590363,-0.031871760718067264,1.2338873133453856
KOREAN_V20,KOSDAQ150,14:30,LONG,0.5,-0.2,UNCONFIRMED,78,78,41.02564102564102,0.02694851032917863,-0.03453266118156647,1.2382334790451393
KOREAN_V20,KOSDAQ150,14:30,LONG,0.75,-0.75,UNCONFIRMED,78,78,57.692307692307686,0.05401624763426669,-0.007456320797001558,1.316071203226714
KOREAN_V20,KOSDAQ150,14:30,LONG,0.75,-0.5,UNCONFIRMED,78,78,56.41025641025641,0.07721501438882018,0.015750351425006064,1.5244295138490953
KOREAN_V20,KOSDAQ150,14:30,LONG,0.75,-0.3,UNCONFIRMED,78,78,50.0,0.05803385661729368,-0.0034379584615246163,1.4584279943830425
KOREAN_V20,KOSDAQ150,14:30,LONG,0.75,-0.2,UNCONFIRMED,78,78,41.02564102564102,0.052168700489753535,-0.009305067485607037,1.461188053184558
KOREAN_V20,KOSDAQ150,14:30,LONG,1.0,-0.75,UNCONFIRMED,78,78,55.12820512820513,0.06630601283539186,0.004836827052240814,1.3806082454571014
KOREAN_V20,KOSDAQ150,14:30,LONG,1.0,-0.5,UNCONFIRMED,78,78,53.84615384615385,0.08950477958994539,0.028043499274248422,1.5945269845377446
KOREAN_V20,KOSDAQ150,14:30,LONG,1.0,-0.3,UNCONFIRMED,78,78,48.717948717948715,0.07756487744409266,0.01609917236823802,1.6095010516290809
KOREAN_V20,KOSDAQ150,14:30,LONG,1.0,-0.2,UNCONFIRMED,78,78,39.743589743589745,0.06849459311142436,0.007025860131866994,1.6019676074572868
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.3,-0.75,UNCONFIRMED,93,93,46.236559139784944,-0.06025226989381418,-0.46805316077346165,0.6897154511994763
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.3,-0.5,UNCONFIRMED,93,93,41.935483870967744,-0.06619095163690944,-0.47399829868407883,0.6464524495475912
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.3,-0.3,UNCONFIRMED,93,93,39.784946236559136,-0.03945007846136155,-0.4471915763544255,0.7438753805477232
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.3,-0.2,UNCONFIRMED,93,93,27.956989247311824,-0.05107038616364695,-0.4588505926164437,0.6138580558358382
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.5,-0.75,UNCONFIRMED,93,93,34.40860215053764,-0.09979652961661524,-0.5076769526972634,0.5483715122631857
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.5,-0.5,UNCONFIRMED,93,93,32.25806451612903,-0.09380388174591157,-0.5016673549782555,0.5506538801077444
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.5,-0.3,UNCONFIRMED,93,93,31.182795698924732,-0.060579740027006855,-0.46836193389614406,0.6439751294150625
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.5,-0.2,UNCONFIRMED,93,93,19.35483870967742,-0.0833072579082129,-0.4911542590541048,0.43448357770337004
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.75,-0.75,UNCONFIRMED,93,93,32.25806451612903,-0.09863909102488429,-0.5065147543868603,0.5824826709856604
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.75,-0.5,UNCONFIRMED,93,93,30.107526881720432,-0.09080621799722077,-0.4986612862816571,0.5863213882381442
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.75,-0.3,UNCONFIRMED,93,93,29.03225806451613,-0.05596917305250952,-0.4637397031989431,0.6830872864148145
KOREAN_V20,KOSDAQ150,14:50,INVERSE,0.75,-0.2,UNCONFIRMED,93,93,18.27956989247312,-0.08514830383694245,-0.4929991362957625,0.4303027153355622
KOREAN_V20,KOSDAQ150,14:50,INVERSE,1.0,-0.75,UNCONFIRMED,93,93,31.182795698924732,-0.09806961705636698,-0.5059446600868164,0.5848931276089739
KOREAN_V20,KOSDAQ150,14:50,INVERSE,1.0,-0.5,UNCONFIRMED,93,93,29.03225806451613,-0.09292491607171413,-0.5007848334726627,0.5766694051743219
KOREAN_V20,KOSDAQ150,14:50,INVERSE,1.0,-0.3,UNCONFIRMED,93,93,29.03225806451613,-0.050023354997970566,-0.4577819884816061,0.7167541289172025
KOREAN_V20,KOSDAQ150,14:50,INVERSE,1.0,-0.2,UNCONFIRMED,93,93,18.27956989247312,-0.08350952515831589,-0.4913602163631046,0.44126720577529405
KOREAN_V20,KOSDAQ150,14:50,LONG,0.3,-0.75,UNCONFIRMED,78,78,58.97435897435898,-0.022414209543124678,-0.08413625602769674,0.8591783717640494
KOREAN_V20,KOSDAQ150,14:50,LONG,0.3,-0.5,UNCONFIRMED,78,78,57.692307692307686,0.0032005477098121884,-0.05851476060270601,1.0246753130301862
KOREAN_V20,KOSDAQ150,14:50,LONG,0.3,-0.3,UNCONFIRMED,78,78,57.692307692307686,0.04618311295249529,-0.015519296451468349,1.532530378258798
KOREAN_V20,KOSDAQ150,14:50,LONG,0.3,-0.2,UNCONFIRMED,78,78,48.717948717948715,0.023210072010784233,-0.03849950161062282,1.259739994301053
