instrument_type,code,status,pages,rows,message,earliest,latest
ETF,069500,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:56:00+09:00,2026-09-11T15:30:00+09:00
ETF,102110,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:55:00+09:00,2026-09-11T15:30:00+09:00
ETF,105190,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-01T09:57:00+09:00,2026-09-11T15:30:00+09:00
ETF,114800,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:42:00+09:00,2026-09-11T15:30:00+09:00
ETF,229200,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:56:00+09:00,2026-09-11T15:30:00+09:00
ETF,232080,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-02T13:10:00+09:00,2026-09-11T15:30:00+09:00
ETF,251340,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:44:00+09:00,2026-09-11T15:30:00+09:00
ETF,354500,PARTIAL,12,9067,PAGE_LIMIT_REACHED,2025-09-01T09:00:00+09:00,2026-09-11T15:30:00+09:00
INDEX,001,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:56:00+09:00,2026-09-11T15:33:00+09:00
INDEX,101,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:56:00+09:00,2026-09-11T15:33:00+09:00
INDEX,201,PARTIAL,13,10801,PAGE_LIMIT_REACHED,2025-09-03T14:56:00+09:00,2026-09-11T15:31:00+09:00
